New Terminal Output:
f 24427/24427/24427 24428/24428/24428 24429/24429/24429
f 24430/24430/24430 24431/24431/24431 24432/24432/24432
f 24433/24433/24433 24434/24434/24434 24435/24435/24435
f 24436/24436/24436 24437/24437/24437 24438/24438/24438
f 24439/24439/24439 24440/24440/24440 24441/24441/24441
f 24442/24442/24442 24443/24443/24443 24444/24444/24444
f 24445/24445/24445 24446/24446/24446 24447/24447/24447
f 24448/24448/24448 24449/24449/24449 24450/24450/24450
f 24451/24451/24451 24452/24452/24452 24453/24453/24453
f 24454/24454/24454 24455/24455/24455 24456/24456/24456
f 24457/24457/24457 24458/24458/24458 24459/24459/24459
f 24460/24460/24460 24461/24461/24461 24462/24462/24462
f 24463/24463/24463 24464/24464/24464 24465/24465/24465
f 24466/24466/24466 24467/24467/24467 24468/24468/24468
f 24469/24469/24469 24470/24470/24470 24471/24471/24471
f 24472/24472/24472 24473/24473/24473 24474/24474/24474
f 24475/24475/24475 24476/24476/24476 24477/24477/24477
f 24478/24478/24478 24479/24479/24479 24480/24480/24480
f 24481/24481/24481 24482/24482/24482 24483/24483/24483
f 24484/24484/24484 24485/24485/24485 24486/24486/24486
f 24487/24487/24487 24488/24488/24488 24489/24489/24489
f 24490/24490/24490 24491/24491/24491 24492/24492/24492
f 24493/24493/24493 24494/24494/24494 24495/24495/24495
f 24496/24496/24496 24497/24497/24497 24498/24498/24498
f 24499/24499/24499 24500/24500/24500 24501/24501/24501
f 24502/24502/24502 24503/24503/24503 24504/24504/24504
f 24505/24505/24505 24506/24506/24506 24507/24507/24507
f 24508/24508/24508 24509/24509/24509 24510/24510/24510
f 24511/24511/24511 24512/24512/24512 24513/24513/24513
f 24514/24514/24514 24515/24515/24515 24516/24516/24516
