New Terminal Output:
39.8,25.0,25.0,38.27
39.9,25.0,24.82,37.64
40.0,25.0,23.94,38.37
40.1,25.0,24.68,34.01
40.2,25.0,24.74,39.58
40.3,25.0,24.4,37.09
40.4,25.0,24.88,38.49
40.5,25.0,25.3,36.09
40.6,25.0,26.41,37.93
40.7,25.0,25.13,36.07
40.8,25.0,25.19,36.55
40.9,25.0,24.94,39.39
41.0,25.0,23.56,37.04
41.1,25.0,24.98,37.49
41.2,25.0,25.05,38.22
41.3,25.0,26.85,37.8
41.4,25.0,24.86,37.42
41.5,25.0,25.23,37.66
41.6,25.0,24.97,39.94
41.7,25.0,24.12,37.19
41.8,25.0,25.86,37.47

69.8,28.3,28.17,38.09
69.9,28.3,29.35,36.05
70.0,28.45,26.97,35.62
70.1,28.45,27.86,37.35
70.2,28.45,28.4,38.06
70.3,28.45,28.47,37.54
70.4,28.45,28.09,37.84
70.5,28.6,29.03,35.92
70.6,28.6,27.62,35.17
70.7,28.6,28.45,38.38
70.8,28.6,28.7,36.37
70.9,28.75,29.07,36.45
71.0,28.75,29.28,38.17
71.1,28.75,27.73,37.32
71.2,28.75,27.41,37.2
71.3,28.75,29.87,39.08
71.4,28.9,29.09,35.99
71.5,28.9,28.18,37.71
71.6,28.9,30.21,36.74
71.7,28.9,29.0,36.98
71.8,29.05,29.95,38.36
