New Terminal Output:
frame_id,coins,enemies,turtles
/root/keyframes_001.png,0,0,3
/root/keyframes_002.png,0,0,3
/root/keyframes_003.png,1,0,4
/root/keyframes_004.png,5,0,3
/root/keyframes_005.png,2,1,2
/root/keyframes_006.png,2,1,3
/root/keyframes_007.png,0,0,4
/root/keyframes_008.png,3,0,4
/root/keyframes_009.png,4,0,4
/root/keyframes_010.png,4,0,4
/root/keyframes_011.png,4,0,4
/root/keyframes_012.png,4,0,4
/root/keyframes_013.png,4,0,4
/root/keyframes_014.png,4,0,5
/root/keyframes_015.png,0,1,5
/root/keyframes_016.png,2,0,5
/root/keyframes_017.png,2,0,4
/root/keyframes_018.png,1,0,3
/root/keyframes_019.png,4,0,3
/root/keyframes_020.png,2,0,3
/root/keyframes_021.png,0,0,5
/root/keyframes_022.png,3,0,6
/root/keyframes_023.png,5,0,6
/root/keyframes_024.png,0,0,5
/root/keyframes_025.png,0,0,5
/root/keyframes_026.png,0,0,4
/root/keyframes_027.png,0,0,4
