New Terminal Output:
All rows in the Excel file:
Row 1: ('filename', 'date', 'total_amount')
Row 2: ('007.jpg', '2019-01-23', '20.00')
Row 3: ('009.jpg', '2018-01-18', '11.00')
Row 4: ('010.jpg', '2017-12-29', '14.10')
Row 5: ('011.jpg', '2017-06-15', None)
Row 6: ('019.jpg', None, '86.00')
Row 7: ('034.jpg', '2018-08-09', '332.30')
Row 8: ('039.jpg', '2018-03-30', '189.75')
Row 9: ('052.jpg', '2018-03-23', '10.00')
Row 10: ('063.jpg', None, '85.54')
Row 11: ('064.jpg', None, '88.17')
Row 12: ('069.jpg', None, '9.90')
Row 13: ('071.jpg', None, '17.76')
Row 14: ('074.jpg', None, '702.00')
Row 15: ('077.jpg', '2017-10-29', '21.30')
Row 16: ('078.jpg', '2017-02-02', '20.00')
Row 17: ('080.jpg', '2017-09-21', '10.40')
Row 18: ('083.jpg', '2017-05-30', '18.80')
Row 19: ('087.jpg', None, '538.00')
Row 20: ('088.jpg', None, '99.80')
Row 21: ('090.jpg', '2017-03-13', '5.00')
Row 22: ('094.jpg', '2018-02-09', '5.90')
Row 23: ('097.jpg', None, '21.00')
