New Terminal Output:
Calculated Dots Scores (Python verification):
====================================================================================================
               Name Sex  BodyweightKg  TotalKg_calc  Dots_calc
       Julien Comte   M         82.25        607.50    412.225
    Matthew Starkey   M         82.90        562.50    379.994
       Austin Keanu   M        122.40        652.50    372.304
Michelle McKeaveney   F         96.80        290.00    250.687
      Tracy Klinger   F        130.82        237.50    186.511
   Mohanad Ibrahiem   M        103.94        712.50    431.480
      Pamela Cresci   F         58.20        260.00    293.877
   Wilie Carpentier   M         81.80        567.50    386.291
       Joshua Noble   M         90.50        607.50    391.720
        Amber Gomez   F         75.90        380.00    367.799
  Arlene van Diepen   F         79.30        297.50    281.554
        Alma Kimura   F         61.81        290.00    315.568
   Jonathan Cruz #1   M         72.50        687.50    504.254
       Serena Abweh   F         46.10        260.50    346.345
    Ashleigh Sutton   F         74.20        452.50    443.241
       Aaron Ziffle   M         92.80        682.50    434.692
  Adelaide Hurlbert   F         61.80        255.00    277.510
    Coralee Traurig   F         71.10        287.50    288.223
     Hugo Laliberté   M         80.20        470.00    323.611
       Curtis Laird   M        108.98        635.03    377.437
