New Terminal Output:
Loading data...
Loaded 1504 earthquakes
Loaded 241 boundaries
Loaded 54 plates

Plate codes available:
   Code       PlateName
0    AF          Africa
1    AN      Antarctica
2    SO         Somalia
3    IN           India
4    AU       Australia
5    EU         Eurasia
6    NA   North America
7    SA   South America
8    NZ           Nazca
9    PA         Pacific
10   AR          Arabia
11   SU           Sunda
12   TI           Timor
13   KE        Kermadec
14   KE        Kermadec
15   TO           Tonga
16   NI       Niuafo'ou
17   WL        Woodlark
18   MO           Maoke
19   SB  South Bismarck
20   SS     Solomon Sea
21   NB  North Bismarck
22   NH    New Hebrides
23   CA       Caribbean
24   CO           Cocos
25   OK         Okhotsk
26   JF    Juan de Fuca
27   AP       Altiplano
28   ND     North Andes
29   ON         Okinawa
30   PS  Philippine Sea
31   AM            Amur
32   CL        Caroline
33   MA         Mariana
34   FT          Futuna
35   SC          Scotia
36   SL        Shetland
37   AS      Aegean Sea
38   AT        Anatolia
39   YA         Yangtze
40   BU           Burma
41   RI          Rivera
42   BH      Birds Head
43   MS     Molucca Sea
44   BS       Banda Sea
45   MN           Manus
46   CR     Conway Reef
47   BR   Balmoral Reef
48   BR   Balmoral Reef
49   EA          Easter
50   JZ  Juan Fernandez
51   GP       Galapagos
52   SW        Sandwich
53   PM          Panama
