Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

Current Terminal Screen:
bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
SC-100[0].Page3[0].List7[0] | Type: Unknown
SC-100[0].Page3[0].List7[0].item7[0] | Type: Unknown
SC-100[0].Page3[0].List7[0].item7[0].Checkbox11[0] | Type: /Btn
SC-100[0].Page3[0].List7[0].item7[0].Checkbox60[0] | Type: /Btn
SC-100[0].Page3[0].List7[0].item7[0].Checkbox60[1] | Type: /Btn
SC-100[0].Page3[0].List8[0] | Type: Unknown
SC-100[0].Page3[0].List8[0].item8[0] | Type: Unknown
SC-100[0].Page3[0].List8[0].item8[0].Checkbox14[0] | Type: /Btn
SC-100[0].Page3[0].List8[0].item8[0].Checkbox61[0] | Type: /Btn
SC-100[0].Page3[0].List8[0].item8[0].Checkbox61[1] | Type: /Btn
SC-100[0].Page3[0].List8[0].item8[0].Date4[0] | Type: /Tx
SC-100[0].Page3[0].PxCaption[0] | Type: Unknown
SC-100[0].Page3[0].PxCaption[0].CaseNumber[0] | Type: /Tx
SC-100[0].Page3[0].PxCaption[0].Plaintiff[0] | Type: /Tx
SC-100[0].Page4[0] | Type: Unknown
SC-100[0].Page4[0].List10[0] | Type: Unknown
SC-100[0].Page4[0].List10[0].li10[0] | Type: Unknown
SC-100[0].Page4[0].List10[0].li10[0].Checkbox63[0] | Type: /Btn
SC-100[0].Page4[0].List10[0].li10[0].Checkbox63[1] | Type: /Btn
SC-100[0].Page4[0].List9[0] | Type: Unknown
SC-100[0].Page4[0].List9[0].Item9[0] | Type: Unknown
SC-100[0].Page4[0].List9[0].Item9[0].Checkbox62[0] | Type: /Btn
SC-100[0].Page4[0].List9[0].Item9[0].Checkbox62[1] | Type: /Btn
SC-100[0].Page4[0].PxCaption[0] | Type: Unknown
SC-100[0].Page4[0].PxCaption[0].CaseNumber[0] | Type: /Tx
SC-100[0].Page4[0].PxCaption[0].Plaintiff[0] | Type: /Tx
SC-100[0].Page4[0].Sign[0] | Type: Unknown
SC-100[0].Page4[0].Sign[0].Date1[0] | Type: /Tx
SC-100[0].Page4[0].Sign[0].Date2[0] | Type: /Tx
SC-100[0].Page4[0].Sign[0].PlaintiffName1[0] | Type: /Tx
SC-100[0].Page4[0].Sign[0].PlaintiffName2[0] | Type: /Tx
SC-100[0].Page5[0] | Type: Unknown
SC-100[0].Page5[0].subRIght[0] | Type: Unknown
SC-100[0].Page5[0].subRIght[0].NeedHelp[0] | Type: Unknown
SC-100[0].Page5[0].subRIght[0].NeedHelp[0].FillField1[0] | Type: /Tx
SC-100[0].Page6[0] | Type: Unknown
SC-100[0].Page6[0].subRight[0] | Type: Unknown
SC-100[0].Page6[0].subRight[0].NeedHelpSpanish[0] | Type: Unknown
SC-100[0].Page6[0].subRight[0].NeedHelpSpanish[0].FillField2[0] | Type: /Tx
root@9a92337fe987:~#
