Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

Current Terminal Screen:
bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
51  R0014           222       211.0           9.0          2.0         95.05
55  R0015           103        98.0           4.0          1.0         95.15
60  R0016           220       215.0           5.0          0.0         97.73
64  R0017           340       320.0          18.0          2.0         94.12
69  R0018           180       176.0           4.0          0.0         97.78
72  R0019            53        45.0           6.0          2.0         84.91
78  R0020            93        80.0          10.0          3.0         86.02

Board families in MES:
['Wearable' 'Industrial_CTRL' 'Mobile_PWR' 'Sensor_Module' 'Compute_IO'
 'RF_FrontEnd']
<stdin>:18: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy

Summary with board_family:
   run_id     board_family  fp_yield_pct  units_tested
3   R0001    Sensor_Module         93.27           208
7   R0002       Compute_IO        100.00            56
11  R0003  Industrial_CTRL         96.77            62
13  R0004         Wearable         96.00            50
19  R0005  Industrial_CTRL         87.77           188
21  R0006       Mobile_PWR         86.49           222
24  R0007       Mobile_PWR         97.26           146
27  R0008    Sensor_Module         92.99           328
34  R0009    Sensor_Module         96.38           304
36  R0010  Industrial_CTRL         95.56           180
38  R0011       Compute_IO         98.15            54
42  R0012  Industrial_CTRL         93.00           100
47  R0013         Wearable         90.15           132
51  R0014       Mobile_PWR         95.05           222
55  R0015       Mobile_PWR         95.15           103
60  R0016  Industrial_CTRL         97.73           220
64  R0017  Industrial_CTRL         94.12           340
69  R0018         Wearable         97.78           180
72  R0019       Compute_IO         84.91            53
78  R0020       Mobile_PWR         86.02            93
root@bcae08a41174:/app#
