New Terminal Output:
39.3,34.33,-0.34,follow,24.24,37.31,3.89
39.4,34.3,-0.34,follow,23.43,38.07,3.97
39.5,34.26,-0.35,follow,24.28,37.16,3.59
39.6,34.23,-0.35,follow,24.05,37.34,4.15
39.7,34.19,-0.35,follow,26.32,35.02,3.89
39.8,34.16,-0.35,follow,23.02,38.27,4.18
39.9,34.12,-0.36,follow,23.59,37.64,4.05
40.0,34.08,-0.36,follow,22.81,38.37,3.78
40.1,34.05,-0.36,follow,27.12,34.01,3.63
40.2,34.01,-0.36,follow,21.49,39.58,4.27
40.3,33.98,-0.37,follow,23.93,37.09,3.87
40.4,33.94,-0.37,follow,22.47,38.49,4.25
40.5,33.9,-0.37,follow,24.82,36.09,4.2
40.6,33.86,-0.37,follow,22.92,37.93,5.09
40.7,33.83,-0.37,follow,24.73,36.07,4.15
40.8,33.79,-0.38,follow,24.19,36.55,4.25
