New Terminal Output:
datetime,obs_depth,sim_depth,observed,simulated
2009-01-21 12:00:00,3.0,4.23755829485579,0.7,0.9644066977493815
2009-01-21 12:00:00,4.0,4.23755829485579,0.7,0.9644066977493815
2009-01-21 12:00:00,5.0,5.422053846204361,0.8,0.9644066977493815
2009-01-21 12:00:00,6.0,6.304427070525399,0.8,0.9644066977493815
2009-01-21 12:00:00,7.0,7.04485047543057,0.8,0.9644066977493815
2009-01-21 12:00:00,8.0,7.724951456684636,0.9,0.9644066977493815
2009-01-21 12:00:00,9.0,8.951056480542203,0.9,0.9644066977493815
2009-01-21 12:00:00,10.0,10.081152153693058,1.0,0.9644066977493815
2009-01-21 12:00:00,11.0,11.141727446759992,1.0,0.9644066977493815
2009-01-21 12:00:00,12.0,12.135555582228651,1.1,0.9644066977493815
2009-01-21 12:00:00,13.0,13.06653963802249,1.2,0.9644066977493815
2009-01-21 12:00:00,14.0,13.943914102495844,1.3,0.9644066977493815
2009-01-21 12:00:00,15.0,15.176249578240197,1.5,0.9644066977493815
2009-01-21 12:00:00,16.0,15.957749838509534,1.6,0.9644066977493815
2009-01-21 12:00:00,17.0,17.08758324411871,1.6,0.9644066977493815
2009-01-21 12:00:00,18.0,18.171097487626646,1.8,0.9644066977493815
2009-01-21 12:00:00,19.0,18.871940578249315,1.8,0.9644066977493815
2009-01-21 12:00:00,20.0,19.895952155948926,2.0,0.9644066977493815
2009-01-21 12:00:00,21.0,20.87797984314874,2.3,0.9644066977493815
