New Terminal Output:

go: downloading github.com/golang/groupcache v0.0.0-20241129210726-2c02b8208cf8
go: downloading github.com/apache/arrow/go/v15 v15.0.2
go: downloading github.com/apache/arrow/go/v15 v15.0.2
go: downloading github.com/go-logr/logr v1.4.3
go: downloading github.com/go-logr/stdr v1.2.2
go: downloading go.opentelemetry.io/auto/sdk v1.2.1
go: downloading github.com/go-logr/logr v1.4.3
go: downloading github.com/go-logr/stdr v1.2.2
go: downloading go.opentelemetry.io/auto/sdk v1.2.1
go: downloading github.com/go-logr/logr v1.4.3
go: downloading go.opentelemetry.io/auto/sdk v1.2.1
go: downloading github.com/go-logr/logr v1.4.3
go: downloading go.opentelemetry.io/auto/sdk v1.2.1
go: downloading github.com/go-logr/logr v1.4.3
go: downloading github.com/pierrec/lz4/v4 v4.1.22
go: downloading golang.org/x/xerrors v0.0.0-20240903120638-7835f813f4da
go: downloading github.com/zeebo/xxh3 v1.0.2
go: downloading github.com/goccy/go-json v0.10.5
go: downloading github.com/klauspost/compress v1.18.0
go: downloading github.com/klauspost/cpuid/v2 v2.3.0
go: downloading github.com/pierrec/lz4/v4 v4.1.22
go: downloading github.com/klauspost/compress v1.18.0
go: downloading golang.org/x/net v0.47.0
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.35.0
go: downloading github.com/spiffe/go-spiffe/v2 v2.6.0
go: downloading github.com/cncf/xds/go v0.0.0-20251022180443-0feb69152e9f
go: downloading github.com/spiffe/go-spiffe/v2 v2.6.0
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.35.0
go: downloading golang.org/x/net v0.47.0
go: downloading github.com/spiffe/go-spiffe/v2 v2.6.0
go: downloading github.com/cncf/xds/go v0.0.0-20251022180443-0feb69152e9f
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.35.0
go: downloading golang.org/x/net v0.47.0
go: downloading github.com/cncf/xds/go v0.0.0-20251022180443-0feb69152e9f
go: downloading golang.org/x/net v0.47.0
go: downloading golang.org/x/net v0.47.0
go: downloading github.com/spiffe/go-spiffe/v2 v2.6.0
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.35.0
go: downloading github.com/cncf/xds/go v0.0.0-20251022180443-0feb69152e9f
go: downloading github.com/envoyproxy/go-control-plane/envoy v1.35.0
go: downloading github.com/spiffe/go-spiffe/v2 v2.6.0
go: downloading github.com/cncf/xds/go v0.0.0-20251022180443-0feb69152e9f
go: downloading cel.dev/expr v0.24.0
go: downloading github.com/envoyproxy/protoc-gen-validate v1.2.1
