Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

Current Terminal Screen:
bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
126.1,30.16,64.55
126.2,29.67,66.52
126.3,30.64,68.3
126.4,29.92,69.64
126.5,31.3,70.19
126.6,29.39,71.57
126.7,31.62,73.66
126.8,29.96,75.56
126.9,28.71,80.65
127.0,30.12,81.42
127.1,29.39,74.77
127.2,30.76,85.65
127.3,29.41,86.5
127.4,29.6,87.95
127.5,28.3,88.95
127.6,29.59,95.1
127.7,27.82,96.67
127.8,28.57,93.77
127.9,30.68,99.2
128.0,30.71,97.09
128.1,30.38,97.78
128.2,29.13,102.04
128.3,29.96,108.74
128.4,30.0,111.09
128.5,28.96,111.69
128.6,31.35,114.44
128.7,30.79,115.77
128.8,29.8,113.77
128.9,30.02,119.53
129.0,30.19,122.88
129.1,28.16,124.76
129.2,29.78,128.42
129.3,29.39,128.68
129.4,29.1,129.35
129.5,29.75,134.17
129.6,31.62,131.89
129.7,30.58,130.45
129.8,29.49,135.33
129.9,30.52,134.92
root@5872ab224e04:~#
