origin,destination,cost,duration,distance
---DATA---
Minneapolis,St. Louis,,8 hours 29 mins,901 km
St. Louis,Minneapolis,,8 hours 28 mins,900 km
Daytona Beach,Greensboro,,8 hours 5 mins,877 km
Daytona Beach,Wilmington,,7 hours 40 mins,844 km
Daytona Beach,New Bern,,8 hours 55 mins,979 km
Daytona Beach,Charlotte,,6 hours 55 mins,759 km
Daytona Beach,Raleigh,,7 hours 52 mins,872 km
Daytona Beach,Asheville,,7 hours 50 mins,854 km
Daytona Beach,Fayetteville,,6 hours 58 mins,776 km
Greensboro,Daytona Beach,,8 hours 9 mins,875 km
Wilmington,Daytona Beach,,7 hours 44 mins,857 km
New Bern,Daytona Beach,,8 hours 59 mins,990 km
Charlotte,Daytona Beach,,6 hours 56 mins,770 km
Raleigh,Daytona Beach,,7 hours 56 mins,885 km
Asheville,Daytona Beach,,7 hours 51 mins,865 km
Fayetteville,Daytona Beach,,7 hours 1 min,786 km
Minneapolis,Sarasota,,23 hours 32 mins,"2,631 km"
Minneapolis,Fort Myers,,1 day 0 hours,"2,737 km"
Minneapolis,Gainesville,,21 hours 9 mins,"2,347 km"
Minneapolis,Orlando,,22 hours 33 mins,"2,519 km"
Minneapolis,Daytona Beach,,22 hours 37 mins,"2,519 km"
Minneapolis,Jacksonville,,21 hours 14 mins,"2,370 km"
Minneapolis,Tampa,,22 hours 45 mins,"2,547 km"
Minneapolis,Panama City,,20 hours 0 mins,"2,154 km"
Minneapolis,Key West,,1 day 5 hours,"3,133 km"
Minneapolis,West Palm Beach,,1 day 1 hour,"2,775 km"
Minneapolis,Miami,,1 day 2 hours,"2,880 km"
Minneapolis,Tallahassee,,20 hours 17 mins,"2,208 km"
Minneapolis,Punta Gorda,,1 day 0 hours,"2,702 km"
Minneapolis,Fort Lauderdale,,1 day 1 hour,"2,843 km"
Minneapolis,Pensacola,,19 hours 1 min,"2,009 km"
Sarasota,Minneapolis,,23 hours 37 mins,"2,640 km"
Sarasota,Daytona Beach,,2 hours 54 mins,300 km
Fort Myers,Minneapolis,,1 day 1 hour,"2,745 km"
Fort Myers,Daytona Beach,,3 hours 48 mins,345 km
Gainesville,Minneapolis,,21 hours 13 mins,"2,354 km"
Gainesville,Daytona Beach,,2 hours 2 mins,158 km
Orlando,Minneapolis,,22 hours 35 mins,"2,526 km"
Orlando,Daytona Beach,,55 mins,89.8 km
Daytona Beach,Minneapolis,,22 hours 41 mins,"2,517 km"
Daytona Beach,Sarasota,,2 hours 55 mins,301 km
Daytona Beach,Fort Myers,,3 hours 51 mins,345 km
Daytona Beach,Gainesville,,2 hours 1 min,158 km
Daytona Beach,Orlando,,1 hour 0 mins,91.5 km
Daytona Beach,Jacksonville,,1 hour 28 mins,143 km
Daytona Beach,Tampa,,2 hours 12 mins,225 km
Daytona Beach,Panama City,,5 hours 30 mins,566 km
Daytona Beach,Key West,,6 hours 56 mins,674 km
Daytona Beach,West Palm Beach,,2 hours 56 mins,322 km
Daytona Beach,Miami,,3 hours 56 mins,421 km
Daytona Beach,Tallahassee,,3 hours 52 mins,404 km
Daytona Beach,Punta Gorda,,3 hours 24 mins,312 km
Daytona Beach,Fort Lauderdale,,3 hours 34 mins,390 km
Daytona Beach,Pensacola,,6 hours 25 mins,715 km
Jacksonville,Minneapolis,,21 hours 20 mins,"2,377 km"
Jacksonville,Daytona Beach,,1 hour 29 mins,153 km
Tampa,Minneapolis,,22 hours 49 mins,"2,555 km"
Tampa,Daytona Beach,,2 hours 10 mins,224 km
Panama City,Minneapolis,,20 hours 7 mins,"2,156 km"
Panama City,Daytona Beach,,5 hours 29 mins,575 km
Key West,Minneapolis,,1 day 5 hours,"3,141 km"
Key West,Daytona Beach,,6 hours 55 mins,673 km
West Palm Beach,Minneapolis,,1 day 1 hour,"2,784 km"
West Palm Beach,Daytona Beach,,2 hours 52 mins,321 km
Miami,Minneapolis,,1 day 2 hours,"2,889 km"
Miami,Daytona Beach,,3 hours 52 mins,422 km
Tallahassee,Minneapolis,,20 hours 24 mins,"2,211 km"
Tallahassee,Daytona Beach,,3 hours 52 mins,417 km
Punta Gorda,Minneapolis,,1 day 0 hours,"2,709 km"
Punta Gorda,Daytona Beach,,3 hours 23 mins,309 km
Fort Lauderdale,Minneapolis,,1 day 1 hour,"2,852 km"
Fort Lauderdale,Daytona Beach,,3 hours 31 mins,389 km
Pensacola,Minneapolis,,19 hours 2 mins,"2,008 km"
Pensacola,Daytona Beach,,6 hours 24 mins,724 km
Charleston,Cincinnati,,9 hours 23 mins,"1,000 km"
Cincinnati,Charleston,,9 hours 20 mins,"1,000 km"
Baltimore,Daytona Beach,,12 hours 19 mins,"1,363 km"
Daytona Beach,Baltimore,,12 hours 19 mins,"1,343 km"
Minneapolis,Jacksonville,,21 hours 14 mins,"2,370 km"
Jacksonville,Minneapolis,,21 hours 20 mins,"2,377 km"
Sacramento,Minneapolis,,1 day 3 hours,"3,027 km"
Minneapolis,Sacramento,,1 day 4 hours,"3,036 km"
Sioux Falls,Daytona Beach,,23 hours 13 mins,"2,577 km"
Daytona Beach,Sioux Falls,,23 hours 8 mins,"2,567 km"
Asheville,Minneapolis,,15 hours 47 mins,"1,711 km"
Minneapolis,Asheville,,15 hours 43 mins,"1,710 km"
Boston,Minneapolis,,20 hours 39 mins,"2,238 km"
Bemidji,Minneapolis,,3 hours 34 mins,347 km
Minneapolis,Boston,,20 hours 36 mins,"2,246 km"
Minneapolis,Bemidji,,3 hours 37 mins,347 km
Minneapolis,Duluth,,2 hours 16 mins,248 km
Minneapolis,Brainerd,,2 hours 6 mins,203 km
Minneapolis,Gustavus,,1 hour 9 mins,110 km
Minneapolis,St. Cloud,,1 hour 6 mins,105 km
Minneapolis,Hibbing,,3 hours 9 mins,312 km
Minneapolis,International Falls,,4 hours 35 mins,476 km
Duluth,Minneapolis,,2 hours 18 mins,249 km
Brainerd,Minneapolis,,2 hours 5 mins,204 km
Gustavus,Minneapolis,,1 hour 11 mins,113 km
St. Cloud,Minneapolis,,1 hour 5 mins,106 km
Hibbing,Minneapolis,,3 hours 10 mins,311 km
International Falls,Minneapolis,,4 hours 36 mins,476 km
Minneapolis,La Crosse,,2 hours 33 mins,255 km
La Crosse,Minneapolis,,2 hours 32 mins,256 km
Cedar Rapids,Daytona Beach,,18 hours 42 mins,"2,051 km"
Daytona Beach,Cedar Rapids,,18 hours 40 mins,"2,045 km"
Bangor,Daytona Beach,,21 hours 48 mins,"2,373 km"
Daytona Beach,Bangor,,21 hours 40 mins,"2,349 km"
Cincinnati,Moline,,6 hours 10 mins,669 km
Cincinnati,Belleville,,5 hours 13 mins,558 km
Cincinnati,Bloomington,,2 hours 29 mins,208 km
Cincinnati,Champaign,,3 hours 33 mins,379 km
Cincinnati,Chicago,,4 hours 34 mins,475 km
Cincinnati,Rockford,,5 hours 54 mins,620 km
Cincinnati,Peoria,,4 hours 47 mins,518 km
Moline,Cincinnati,,6 hours 8 mins,666 km
Belleville,Cincinnati,,5 hours 14 mins,557 km
Bloomington,Cincinnati,,2 hours 29 mins,207 km
Champaign,Cincinnati,,3 hours 34 mins,375 km
Chicago,Cincinnati,,4 hours 34 mins,477 km
Rockford,Cincinnati,,5 hours 53 mins,619 km
Peoria,Cincinnati,,4 hours 47 mins,518 km
Dallas,Minneapolis,,14 hours 7 mins,"1,515 km"
Minneapolis,Dallas,,14 hours 6 mins,"1,512 km"
Latrobe,Daytona Beach,,13 hours 53 mins,"1,474 km"
Daytona Beach,Latrobe,,13 hours 54 mins,"1,463 km"
Minneapolis,Toledo,,9 hours 43 mins,"1,057 km"
Minneapolis,Cleveland,,11 hours 14 mins,"1,219 km"
Minneapolis,Dayton,,10 hours 27 mins,"1,137 km"
Minneapolis,Columbus,,11 hours 15 mins,"1,230 km"
Minneapolis,Akron,,11 hours 30 mins,"1,253 km"
Minneapolis,Cincinnati,,10 hours 24 mins,"1,133 km"
Toledo,Minneapolis,,9 hours 46 mins,"1,049 km"
Toledo,Cleveland,,1 hour 50 mins,183 km
Toledo,Dayton,,2 hours 14 mins,241 km
Toledo,Columbus,,2 hours 20 mins,228 km
Toledo,Akron,,2 hours 6 mins,218 km
Toledo,Cincinnati,,3 hours 1 min,326 km
Cleveland,Minneapolis,,11 hours 14 mins,"1,209 km"
Cleveland,Toledo,,1 hour 47 mins,184 km
Cleveland,Dayton,,3 hours 11 mins,340 km
Cleveland,Columbus,,2 hours 8 mins,228 km
Cleveland,Akron,,42 mins,62.3 km
Cleveland,Cincinnati,,3 hours 44 mins,400 km
Dayton,Minneapolis,,10 hours 31 mins,"1,138 km"
Dayton,Toledo,,2 hours 13 mins,240 km
Dayton,Cleveland,,3 hours 13 mins,342 km
Dayton,Columbus,,1 hour 7 mins,115 km
Dayton,Akron,,2 hours 58 mins,314 km
Dayton,Cincinnati,,56 mins,87.2 km
Columbus,Minneapolis,,11 hours 19 mins,"1,233 km"
Columbus,Toledo,,2 hours 20 mins,229 km
Columbus,Cleveland,,2 hours 11 mins,230 km
Columbus,Dayton,,1 hour 9 mins,116 km
Columbus,Akron,,1 hour 57 mins,202 km
