New Terminal Output:
Date: 2009-06-23 12:00:00

Depth    Observed    Simulated    Error
---------------------------------------------
  1.0m     23.70°C     12.81°C   -10.89°C
  2.0m     22.70°C     13.24°C    -9.46°C
  3.0m     21.80°C     13.26°C    -8.54°C
  4.0m     21.40°C     13.28°C    -8.12°C
  5.0m     20.90°C     13.30°C    -7.60°C
  5.5m     20.60°C     13.32°C    -7.28°C
  6.0m     19.50°C     13.34°C    -6.16°C
  7.0m     18.70°C     13.39°C    -5.31°C
  8.0m     18.20°C     13.45°C    -4.75°C
  8.5m     17.80°C     13.50°C    -4.30°C
  9.0m     16.90°C     13.57°C    -3.33°C
 10.0m     16.40°C     13.81°C    -2.59°C
 11.0m     16.00°C     14.46°C    -1.54°C
 11.5m     15.60°C     15.42°C    -0.18°C
