New Terminal Output:
74.8,29.95,29.47,37.88
74.9,29.95,29.02,36.54
75.0,30.0,29.94,36.86
75.1,30.0,30.89,38.38
75.2,30.0,29.18,36.78
75.3,30.0,30.56,39.38
75.4,30.0,29.65,37.16
75.5,30.0,29.45,34.62
75.6,30.0,30.1,37.4
75.7,30.0,29.29,37.01
75.8,30.0,29.77,38.03
75.9,30.0,29.21,37.38
76.0,30.0,32.12,36.52
76.1,30.0,30.4,35.35
76.2,30.0,29.76,36.51
76.3,30.0,30.63,35.84
76.4,30.0,30.37,36.18
76.5,30.0,30.3,37.52
76.6,30.0,31.09,38.77
76.7,30.0,31.26,37.41
76.8,30.0,30.11,35.7

148.1,30.0,,
148.2,30.0,,
148.3,30.0,,
148.4,30.0,,
148.5,30.0,,
148.6,30.0,,
148.7,30.0,,
148.8,30.0,,
148.9,30.0,,
149.0,30.0,,
149.1,30.0,,
149.2,30.0,,
149.3,30.0,,
149.4,30.0,,
149.5,30.0,,
149.6,30.0,,
149.7,30.0,,
149.8,30.0,,
149.9,30.0,,
150.0,30.0,,
