New Terminal Output:
=== DATA SHEET ===
Dimensions: A1:R47

Rows 1-5 for columns A-L:
Row  1: Database -->  | ID:WEO_PUBLISHED |  |  |  |  |  |  |  |  |  | 
Row  2:  |  |  |  |  |  |  |  |  |  |  | 
Row  3:  |  |  |  |  |  |  |  |  |  |  | 
Row  4: Database | Series_code | Country | Indicator | Indicator.Name | Frequency | Scale | 2018 | 2019 | 2020 | 2021 | 2022
Row  5:  |  |  |  |  |  |  |  |  |  |  | 

Rows 21-40 for columns A-L (source data):
Row 21: ID:WEO_PUBLISHED | 419BXGS_BP6.A | Bahrain | BXGS_BP6 | Balance of Payments, | Annual | Billions | 29.9590425531915 | 29.5643617021277 | 25.2492021276596 | 35.2345744680852 | 44.5819148936171
Row 22: ID:WEO_PUBLISHED | 443BXGS_BP6.A | Kuwait | BXGS_BP6 | Balance of Payments, | Annual | Billions | 79.46368443713361 | 73.3299115928385 | 48.5460037554086 | 76.73751733511611 | 110.951320810177
Row 23: ID:WEO_PUBLISHED | 449BXGS_BP6.A | Oman | BXGS_BP6 | Balance of Payments, | Annual | Billions | 46.3213669285954 | 43.5465965960978 | 35.6913528845155 | 46.57231296049279 | 69.70117965271449
Row 24: ID:WEO_PUBLISHED | 453BXGS_BP6.A | Qatar | BXGS_BP6 | Balance of Payments, | Annual | Billions | 102.560989010989 | 92.0461538461538 | 70.93324175824169 | 105.54945054945 | 161.692857142857
Row 25: ID:WEO_PUBLISHED | 456BXGS_BP6.A | Saudi Arabia | BXGS_BP6 | Balance of Payments, | Annual | Billions | 314.9165 | 285.8599 | 182.8481 | 286.5016 | 445.8812
Row 26: ID:WEO_PUBLISHED | 466BXGS_BP6.A | United Arab Emirates | BXGS_BP6 | Balance of Payments, | Annual | Billions | 408.496539809394 | 404.046289993193 | 350.279101429544 | 425.132743362831 | 515.2790087162319
Row 27:  |  |  |  |  |  |  |  |  |  |  | 
Row 28: ID:WEO_PUBLISHED | 419BMGS_BP6.A | Bahrain | BMGS_BP6 | Balance of Payments, | Annual | Billions | 27.048670212766 | 25.2077127659575 | 23.2968085106383 | 27.5773936170213 | 33.0688829787234
Row 29: ID:WEO_PUBLISHED | 443BMGS_BP6.A | Kuwait | BMGS_BP6 | Balance of Payments, | Annual | Billions | 63.05627007871411 | 55.8175535287385 | 42.5308188423545 | 44.9160455492262 | 55.92309744002871
Row 30: ID:WEO_PUBLISHED | 449BMGS_BP6.A | Oman | BMGS_BP6 | Balance of Payments, | Annual | Billions | 35.60041226267411 | 32.5685552505517 | 33.8270953409951 | 37.2157374510285 | 46.3258913295439
Row 31: ID:WEO_PUBLISHED | 453BMGS_BP6.A | Qatar | BMGS_BP6 | Balance of Payments, | Annual | Billions | 65.8109890109891 | 66.7697802197803 | 59.0645604395604 | 61.2043956043956 | 74.5200549450549
Row 32: ID:WEO_PUBLISHED | 456BMGS_BP6.A | Saudi Arabia | BMGS_BP6 | Balance of Payments, | Annual | Billions | 209.0688 | 218.9747 | 182.1837 | 213.5156 | 258.2128
Row 33: ID:WEO_PUBLISHED | 466BMGS_BP6.A | United Arab Emirates | BMGS_BP6 | Balance of Payments, | Annual | Billions | 322.573498927161 | 321.524846834582 | 273.682777399592 | 320.408441116406 | 389.652076242342
Row 34:  |  |  |  |  |  |  |  |  |  |  | 
Row 35: ID:WEO_PUBLISHED | 419NGDPD.A | Bahrain | NGDPD | Gross domestic produ | Annual | Billions | 37.8019414893617 | 38.65377659574468 | 34.62172872340426 | 39.28869680851064 | 44.38329787234042
Row 36: ID:WEO_PUBLISHED | 443NGDPD.A | Kuwait | NGDPD | Gross domestic produ | Annual | Billions | 138.2114350691645 | 138.6947798329567 | 107.5157155686178 | 141.773126840561 | 182.8462874156975
Row 37: ID:WEO_PUBLISHED | 449NGDPD.A | Oman | NGDPD | Gross domestic produ | Annual | Billions | 91.5053979279602 | 88.06068499803068 | 75.90871261378413 | 88.19193758127439 | 114.6668400520156
Row 38: ID:WEO_PUBLISHED | 453NGDPD.A | Qatar | NGDPD | Gross domestic produ | Annual | Billions | 183.3349538132091 | 176.3712676890816 | 144.41136334527 | 179.7321428571429 | 236.2582417582418
Row 39: ID:WEO_PUBLISHED | 456NGDPD.A | Saudi Arabia | NGDPD | Gross domestic produ | Annual | Billions | 846.5842666666666 | 838.5637333333334 | 734.2712 | 874.156 | 1108.572
Row 40: ID:WEO_PUBLISHED | 466NGDPD.A | United Arab Emirates | NGDPD | Gross domestic produ | Annual | Billions | 427.0494213750851 | 417.9896528250511 | 349.4731109598366 | 415.1787610619469 | 507.0638529611981
