New Terminal Output:
Processed 007.jpg: Date=2019-01-23, Amount=20.00
Processed 009.jpg: Date=2018-01-18, Amount=26.60
Processed 010.jpg: Date=2017-12-29, Amount=14.10
Processed 011.jpg: Date=2017-06-15, Amount=None
Processed 019.jpg: Date=None, Amount=86.00
Processed 034.jpg: Date=2018-08-09, Amount=348.50
Processed 039.jpg: Date=2018-03-30, Amount=189.75
Processed 052.jpg: Date=2018-03-23, Amount=10.00
Processed 063.jpg: Date=None, Amount=85.54
Processed 064.jpg: Date=None, Amount=88.17
Processed 069.jpg: Date=None, Amount=9.90
Processed 071.jpg: Date=None, Amount=0.99
Processed 074.jpg: Date=None, Amount=702.00
Processed 077.jpg: Date=2017-10-29, Amount=21.30
Processed 078.jpg: Date=2017-02-02, Amount=92.80
Processed 080.jpg: Date=2017-09-21, Amount=10.40
Processed 083.jpg: Date=2017-05-30, Amount=18.80
Processed 087.jpg: Date=None, Amount=538.00
Processed 088.jpg: Date=None, Amount=99.80
Processed 090.jpg: Date=2017-03-13, Amount=5.00
Processed 094.jpg: Date=2018-02-09, Amount=5.90
Processed 097.jpg: Date=None, Amount=21.00
