New Terminal Output:
Rating data:
# //UNITED STATES GEOLOGICAL SURVEY       http://water.usgs.gov/
# //NATIONAL WATER INFORMATION SYSTEM     http://water.usgs.gov/data.html
# //DATA ARE PROVISIONAL AND SUBJECT TO CHANGE UNTIL PUBLISHED BY USGS
# //RETRIEVED: 2025-07-31 17:15:01
# //WARNING
# //WARNING The stage-discharge rating provided in this file should be
# //WARNING considered provisional and subject to change. Stage-discharge
# //WARNING ratings change over time as the channel features that control
# //WARNING the relation between stage and discharge vary. Users are
# //WARNING cautioned to consider carefully the applicability of this
# //WARNING rating before using it for decisions that concern personal or
# //WARNING public safety or operational consequences.
# //FILE TYPE="NWIS RATING" 
# //DATABASE NUMBER=01 DESCRIPTION=" Standard data base for this site."
# //STATION AGENCY="USGS " NUMBER="04031000       " TIME_ZONE="CST" DST_FLAG=N
# //STATION NAME="BLACK RIVER NEAR BESSEMER, MI"
# //LABEL="Discharge (ft^3/s)"
# //PARAMETER CODE="00060"
# //RATING SHIFTED="20250731171501 CST"
# //RATING ID="17.0" TYPE="STGQ" NAME="stage-discharge" AGING=????
# //RATING REMARKS=""
# //RATING EXPANSION="logarithmic"
# //RATING OFFSET1=1.400000E+00
# //RATING_INDEP ROUNDING="????" PARAMETER="Gage height (ft)"
# //RATING_DEP ROUNDING="????" PARAMETER="Discharge (ft^3/s)"
# //RATING_DATETIME BEGIN=20210628184500 BZONE=-06:00 END=-------------- EZONE=--- AGING=1
# //RATING_DATETIME COMMENT="Start rating No. 17.0"
# //SHIFT_PREV BEGIN="20250728145333" BZONE="-06:00" END="--------------" EZONE="---"
# //SHIFT_PREV STAGE1="2.00" SHIFT1="0.00" STAGE2="3.10" SHIFT2="0.00" STAGE3="3.80" SHIFT3="0.00"
# //SHIFT_PREV COMMENT="TEMP FOR WEB - Prorate to rating direct between mmts, based on mmt 481 made this day. "
# //SHIFT_NEXT BEGIN="--------------" BZONE="---" END="--------------" EZONE="---"
# //SHIFT_NEXT STAGE1="---" SHIFT1="---" STAGE2="---" SHIFT2="---" STAGE3="---" SHIFT3="---"
# //SHIFT_NEXT COMMENT=" "
INDEP	SHIFT	DEP	STOR
16N	16N	16N	1S
1.70	0.00	6.00	*
1.71	0.00	6.48	
1.72	0.00	6.98	
1.73	0.00	7.50	
1.74	0.00	8.04	
1.75	0.00	8.60	
1.76	0.00	9.19	
1.77	0.00	9.80	
1.78	0.00	10.43	
1.79	0.00	11.08	
1.80	0.00	11.75	
1.81	0.00	12.45	
1.82	0.00	13.17	
1.83	0.00	13.92	
1.84	0.00	14.69	
1.85	0.00	15.48	
1.86	0.00	16.29	
1.87	0.00	17.13	
1.88	0.00	18.00	
1.89	0.00	18.89	
1.90	0.00	19.80	
1.91	0.00	20.74	
1.92	0.00	21.70	
1.93	0.00	22.69	
1.94	0.00	23.70	
1.95	0.00	24.74	
1.96	0.00	25.80	
1.97	0.00	26.89	
1.98	0.00	28.01	
1.99	0.00	29.15	
2.00	0.00	30.32	
2.01	0.00	31.51	
2.02	0.00	32.73	
2.03	0.00	33.98	
2.04	0.00	35.25	
2.05	0.00	36.55	
2.06	0.00	37.88	
2.07	0.00	39.24	
2.08	0.00	40.62	
2.09	0.00	42.03	
2.10	0.00	43.47	
2.11	0.00	44.93	
2.12	0.00	46.42	
2.13	0.00	47.94	
2.14	0.00	49.49	
2.15	0.00	51.07	
2.16	0.00	52.68	
2.17	0.00	54.31	
2.18	0.00	55.97	
2.19	0.00	57.67	
2.20	0.00	59.39	
2.21	0.00	61.14	
2.22	0.00	62.91	
2.23	0.00	64.72	
2.24	0.00	66.56	
2.25	0.00	68.43	
2.26	0.00	70.32	
2.27	0.0
