New Terminal Output:
GDP Deflator Analysis:
Year | Nominal GDP | Real Growth | Deflator Index | Deflator Growth
2020 | 16.01 | -6.3% | 100.00 | None
2021 | 18.85 | 10.6% | 106.43 | 6.42912308252255
2022 | 24.98 | 11% | 127.10 | 19.4175235238421
2023 | 30.78 | 7.8% | 145.23 | 14.2726452197849
2024 | 33.77 | 9.4% | 145.68 | 0.308477897327597
2025 | 37.40 | 7.2% | 150.50 | 3.30379928632187
2026 | 40.18 | 5.3% | 153.52 | 2.00998802626124
2027 | 42.41 | 5% | 154.33 | 0.526598373625298
2028 | 44.72 | 5% | 155.00 | 0.437024460793545
2029 | 47.20 | 5% | 155.81 | 0.517151609430755
2030 | 49.80 | 5% | 156.56 | 0.484039215448906

Avg Deflator Growth (H28): 0.491203414824626
