New Terminal Output:
Frame Brightness Analysis
Frame	Time	Brightness	Change
frame_0001.jpg	5	121.4	-
frame_0002.jpg	10	142.0	20.6 *
frame_0003.jpg	15	125.7	16.3
frame_0004.jpg	20	137.5	11.8
frame_0005.jpg	25	130.8	6.7
frame_0006.jpg	30	126.6	4.2
frame_0007.jpg	35	130.1	3.6
frame_0008.jpg	40	136.2	6.1
frame_0009.jpg	45	133.1	3.1
frame_0010.jpg	50	131.3	1.9
frame_0011.jpg	55	134.7	3.5
frame_0012.jpg	60	138.6	3.9
frame_0013.jpg	65	132.3	6.3
frame_0014.jpg	70	134.1	1.8
frame_0015.jpg	75	133.1	1.0
frame_0016.jpg	80	130.4	2.7
frame_0017.jpg	85	129.3	1.1
frame_0018.jpg	90	120.5	8.8
frame_0019.jpg	95	127.0	6.5
frame_0020.jpg	100	129.7	2.7
frame_0272.jpg	1360	127.9	0.7
frame_0273.jpg	1365	127.0	1.0
frame_0274.jpg	1370	126.9	0.1
frame_0275.jpg	1375	127.5	0.5
frame_0276.jpg	1380	126.6	0.8
frame_0277.jpg	1385	129.6	3.0
