New Terminal Output:
Sheet names: ['results']
Active sheet: results

Contents:
('filename', 'date', 'total_amount')
('007.jpg', '2019-01-23', '20.00')
('009.jpg', '2018-01-18', '26.60')
('010.jpg', '2017-12-29', '14.10')
('011.jpg', '2017-08-15', '15.00')
('019.jpg', '2018-03-18', '86.00')
('034.jpg', '2018-08-09', '332.30')
('039.jpg', '2018-05-30', '189.75')
('052.jpg', '2018-03-23', '10.00')
('063.jpg', '2018-02-26', '85.54')
('064.jpg', '2018-02-21', '88.17')
('069.jpg', '2018-02-20', '9.90')
('071.jpg', '2018-02-19', '17.70')
('074.jpg', '2018-03-20', '102.00')
('077.jpg', '2017-10-29', '21.30')
('078.jpg', '2017-02-02', '92.80')
('080.jpg', '2017-09-21', '10.40')
('083.jpg', '2017-05-30', '18.80')
('087.jpg', '2017-07-27', '538.00')
('088.jpg', '2017-08-09', '99.80')
('090.jpg', '2017-03-13', '5.00')
('094.jpg', '2018-02-09', '5.90')
('097.jpg', '2018-01-12', '21.00')
