New Terminal Output:
best by overshoot:
((0.3, 0.0, 0.0), (0.05, 0.0, 0.1), 9.7, 0.0, 0.17276837750148744, 18.836289845116493, 34.12548837700521)
((0.3, 0.0, 0.0), (0.05, 0.0, 0.05), 9.7, 0.0, 0.17551683068444746, 18.534576004438243, 33.28199101020398)
((0.3, 0.0, 0.0), (0.05, 0.0, 0.02), 9.7, 0.0, 0.1784353735441364, 18.923137106002958, 32.91038146441166)
((0.3, 0.0, 0.0), (0.05, 0.0, 0.0), 9.7, 0.0, 0.18031338259761043, 19.340062066867713, 32.87574307111335)
((0.3, 0.0, 0.02), (0.05, 0.0, 0.1), 9.8, 0.0, 0.18349311493155795, 18.58786559483788, 34.35928167607492)
((0.3, 0.0, 0.0), (0.1, 0.0, 0.1), 9.7, 0.0, 0.1860377414021137, 14.994290130895699, 26.222621501800216)
((0.3, 0.0, 0.02), (0.05, 0.0, 0.05), 9.8, 0.0, 0.1863275894602232, 18.33914589885451, 33.55674453411681)
((0.3, 0.0, 0.02), (0.05, 0.0, 0.02), 9.8, 0.0, 0.18862660519758379, 18.58552561328633, 33.292833619920515)
((0.3, 0.0, 0.0), (0.1, 0.0, 0.05), 9.7, 0.0, 0.19093004437884176, 15.484507511567518, 25.523303048615425)
((0.3, 0.0, 0.02), (0.05, 0.0, 0.0), 9.8, 0.0, 0.19133753696335631, 19.202014301825844, 33.167497314096245)
best by sse:
((0.05, 0.005, 0.0), (0.2, 0.005, 0.05), 14.100000000000001, 35.52731929167706, 0.0011371928003676146, 35.96482574432784, -5.393420977661556)
((0.05, 0.005, 0.0), (0.3, 0.005, 0.05), 14.100000000000001, 35.52731929167706, 0.002276172292148715, 35.302927061799764, -5.758306289040778)
((0.05, 0.005, 0.02), (0.2, 0.02, 0.05), 14.4, 35.069475999340796, 0.003068484707821284, 39.475160931122396, -0.46032328341300055)
((0.05, 0.005, 0.05), (0.3, 0.02, 0.02), 14.600000000000001, 34.5963566976409, 0.0056654248665530815, 38.42356141132692, 9.641062256855916)
((0.05, 0.005, 0.02), (0.2, 0.005, 0.02), 14.4, 35.069475999340796, 0.012404728094729478, 40.18326851876513, 0.2530367299645324)
((0.05, 0.005, 0.0), (0.2, 0.01, 0.05), 14.100000000000001, 35.52731929167706, 0.023813100845995194, 37.1345086931784, -4.144751625813558)
((0.05, 0.005, 0.0), (0.3, 0.005, 0.02), 14.100000000000001, 35.52731929167706, 0.026632524468055863, 34.45994864829541, -6.566991172194908)
((0.05, 0.005, 0.0), (0.05, 0.02, 0.1), 14.100000000000001, 35.52731929167706, 0.027419094999164173, 36.696357327819406, -4.601140584380424)
((0.05, 0.005, 0.0), (0.2, 0.0, 0.02), 14.100000000000001, 35.52731929167706, 0.028200142271337825, 36.42859036814435, -4.918719136176773)
((0.05, 0.005, 0.02), (0.4, 0.0, 0.0), 14.4, 35.069475999340796, 0.03197617913822981, 32.772817588116176, 9.913850516256957)
