New Terminal Output:
openpyxl    3.1.5

--- Task ---
['Protein Expression Analysis Task', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Instructions:', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Step 1: Fill yellow cells (H7:BB16) by looking up expression values from Data sheet', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Step 2: Calculate statistics in cells H19:BB28', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Step 3: Calculate fold changes in cells H31:L40', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Step 4: Identify top regulated proteins in cells H43:L52', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Sample Group:', None, 'Control', 'Control', 'Control', 'Control', 'Control', 'Treated', 'Treated', 'Treated', 'Treated', 'Treated', None, None, None]
['Protein_ID', 'Gene_Symbol', 'NCIH1568_LUNG_TenPx15', 'IPC298_SKIN_TenPx08', 'WM2664_SKIN_TenPx02', 'SNU1_STOMACH_TenPx20', 'TE6_OESOPHAGUS_TenPx17', 'FUOV1_OVARY_TenPx16', 'LS513_LARGE_INTESTINE_TenPx09', 'THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx24', 'SW48_LARGE_INTESTINE_TenPx07', 'NCIN87_STOMACH_TenPx26', None, None, None]
['sp|Q9HCY8|S10AE_HUMAN', 'S100A14', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q96EN8|MOCOS_HUMAN', 'MOCOS', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q86UT8|CCD84_HUMAN', 'CCDC84', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|O96000|NDUBA_HUMAN', 'NDUFB10', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q86Y38|XYLT1_HUMAN', 'XYLT1', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q5SZL2|CE85L_HUMAN', 'CEP85L', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q9BQA1|MEP50_HUMAN', 'WDR77', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q9C0F1|CEP44_HUMAN', 'CEP44', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|Q9UH03|SEPT3_HUMAN', 'SEPT3', None, None, None, None, None, None, None, None, None, None, None, None, None]
['sp|P04632|CPNS1_HUMAN', 'CAPNS1', None, None, None, None, None, None, None, None, None, None, None, None, None]
[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Step 2: Calculate Statistics', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Statistic', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Control Mean:', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
['Control StdDev:', None, None, None, None, None, None, None, None, None, None, None, None, None, None]

--- Data ---
['Protein_ID', 'Gene_Symbol', 'Description', 'NCIH1568_LUNG_TenPx15', 'IPC298_SKIN_TenPx08', 'WM2664_SKIN_TenPx02', 'SNU1_STOMACH_TenPx20', 'TE6_OESOPHAGUS_TenPx17', 'FUOV1_OVARY_TenPx16', 'LS513_LARGE_INTESTINE_TenPx09', 'THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_TenPx24', 'SW48_LARGE_INTESTINE_TenPx07', 'NCIN87_STOMACH_TenPx26', 'PC14_LUNG_TenPx05', 'HT55_LARGE_INTESTINE_TenPx06']
['sp|Q9HCY8|S10AE_HUMAN', 'S100A14', 'S10AE_HUMAN Protein S100-A14', 0.804333160890564, -1.50669132159431, -0.878081827818799, -1.59427474589872, 1.5565908929683, -1.85035394955106, 0.715648559875204, -2.12068007889214, 0.0963245988479756, 4.88788801023154, 3.79649987493406, 0.368401814431138]
['sp|Q96EN8|MOCOS_HUMAN', 'MOCOS', 'MOCOS_HUMAN Molybdenum cofactor sulfurase', -1.88704595236882, None, -0.522037575596651, 0.176813987628277, -0.500665138012251, -0.491813850051571, 0.590444734604135, -1.86505065195226, 1.13341971930941, 0.22962917243043, 0.171051604867174, -0.0893647061665278]
['sp|Q86UT8|CCD84_HUMAN', 'CCDC84', 'CCD84_HUMAN Coiled-coil domain-containing protein 84', 0.209527097430202, None, None, -0.220716689077524, -0.463242981244728, 0.516150100822412, -0.230806490267756, 0.169963746381313, 0.547661811890843, 1.52177933083883, None, 0.479256066885854]
['sp|O96000|NDUBA_HUMAN', 'NDUFB10', 'NDUBA_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10', -0.108190854391127, 0.252523966700499, 0.071423933408933, 0.060643333824148, 0.408398970995962, 0.369910668420247, 0.0986708938617032, -0.159584386759576, -0.240819814674417, 0.320753477855476, 0.310189780383803, 0.556891723748225]
