Sheet names: ['Answer', 'Gold price', 'Total Reserves', 'Value', 'Volume']


=== Sheet: Answer ===
     0                                              1
0  NaN                                         STEP 1
1  NaN                                            NaN
2  NaN                        Z-score (95% one-sided)
3  NaN                             3-month volatility
4  NaN                  3-month volatility annualized
5  NaN                            12-month volatility
6  NaN                                            NaN
7  NaN                                            NaN
8  NaN                                         STEP 2
9  NaN                                            NaN
10 NaN                                        Country
11 NaN           Gold reserves \n(in millions of USD)
12 NaN  Gold valuation exposure (95% one-sided shock)
13 NaN                                            NaN
14 NaN                                            NaN
15 NaN                                         STEP 3
16 NaN                                            NaN
17 NaN                                            NaN
18 NaN                                            NaN
19 NaN                                        Country
20 NaN           Gold reserves \n(in millions of USD)
21 NaN  Gold valuation exposure (95% one-sided shock)
22 NaN                                  Total Reserve
23 NaN              RaR(in percent of total reserves)


=== Sheet: Gold price ===
           0                                                                                                             1                   2                   3                    4
0        NaN  Gold, Fixing Committee of the London Bullion Market Association, London 3 PM fixed price, US$ per troy ounce  Monthly log return  3-month volatility  12-month volatility
1     1990M1                                                                                                           NaN                 NaN                 NaN                  NaN
2     1990M2                                                                                                           NaN                 NaN                 NaN                  NaN
3     1990M3                                                                                                           NaN                 NaN                 NaN                  NaN
4     1990M4                                                                                                           NaN                 NaN                 NaN                  NaN
5     1990M5                                                                                                           NaN                 NaN                 NaN                  NaN
6     1990M6                                                                                                           NaN                 NaN                 NaN                  NaN
7     1990M7                                                                                                           NaN                 NaN                 NaN                  NaN
8     1990M8                                                                                                           NaN                 NaN                 NaN                  NaN
9     1990M9                                                                                                           NaN                 NaN                 NaN                  NaN
10   1990M10                                                                                                           NaN                 NaN                 NaN                  NaN
11   1990M11                                                                                                           NaN                 NaN                 NaN                  NaN
12   1990M12                                                                                                           NaN                 NaN                 NaN                  NaN
13    1991M1                                                                                                           NaN                 NaN                 NaN                  NaN
14    1991M2                                                                                                           NaN                 NaN                 NaN                  NaN
15    1991M3                                                                                                           NaN                 NaN                 NaN                  NaN
16    1991M4                                                                                                           NaN                 NaN                 NaN                  NaN
17    1991M5                                                                                                           NaN                 NaN                 NaN                  NaN
18    1991M6                                                                                                           NaN                 NaN                 NaN                  NaN
