New Terminal Output:
=== Georgia's Capital Stock (rnna) Data ===
Found 74 rows for Georgia

Year	rnna
1950	None
1951	None
1952	None
1953	None
1954	None
1955	None
1956	None
1957	None
1958	None
1959	None
1960	None
1961	None
1962	None
1963	None
1964	None
1965	None
1966	None
1967	None
1968	None
1969	None
1970	None
1971	None
1972	None
1973	None
1974	None
1975	None
1976	None
1977	None
1978	None
1979	None
1980	None
1981	None
1982	None
1983	None
1984	None
1985	None
1986	None
1987	None
1988	None
1989	None
1990	333953.90625
1991	336800.125
1992	331575.34375
1993	318977.5625
1994	310557.21875
1995	305633.28125
1996	301706.46875
1997	298764.625
1998	298990.5
1999	299754.78125
2000	300383.3125
2001	302284.0625
2002	303592.625
2003	307310.28125
2004	311984.28125
2005	317837.8125
2006	322943.65625
2007	329445.875
2008	332604.46875
2009	330608.28125
2010	332551.53125
2011	336560.28125
2012	341471.1875
2013	344239.03125
2014	350962.15625
2015	360259.8125
2016	370547.65625
2017	380655.78125
2018	390625.1875
2019	399934.28125
2020	405156.15625
2021	409189.75
2022	415085.84375
2023	426190.5
