New Terminal Output:
bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[[1;34mINFO[m] Scanning for projects...
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-checkstyle-plugin/2.11/maven-checkstyle-plugin-2.11.pom
Progress (1): 4.1 kB
Progress (1): 8.2 kB
Progress (1): 12 kB 
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-checkstyle-plugin/2.11/maven-checkstyle-plugin-2.11.pom (12 kB at 55 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-checkstyle-plugin/2.11/maven-checkstyle-plugin-2.11.jar
Progress (1): 2.3/95 kB
Progress (1): 5.0/95 kB
Progress (1): 7.7/95 kB
Progress (1): 10/95 kB 
Progress (1): 13/95 kB
Progress (1): 16/95 kB
Progress (1): 19/95 kB
Progress (1): 21/95 kB
Progress (1): 24/95 kB
Progress (1): 27/95 kB
Progress (1): 30/95 kB
Progress (1): 32/95 kB
Progress (1): 35/95 kB
Progress (1): 38/95 kB
Progress (1): 41/95 kB
Progress (1): 43/95 kB
Progress (1): 46/95 kB
Progress (1): 49/95 kB
Progress (1): 53/95 kB
Progress (1): 57/95 kB
Progress (1): 61/95 kB
Progress (1): 65/95 kB
Progress (1): 69/95 kB
Progress (1): 73/95 kB
Progress (1): 77/95 kB
Progress (1): 82/95 kB
Progress (1): 86/95 kB
Progress (1): 90/95 kB
Progress (1): 94/95 kB
Progress (1): 95 kB   
                   
Downloaded from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-checkstyle-plugin/2.11/maven-checkstyle-plugin-2.11.jar (95 kB at 33 kB/s)
Downloading from central: https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-clean-plugin/2.5/maven-clean-plugin-2.5.pom
Progress (1): 3.9 kB
                    
