New Terminal Output:
Vendors Data:
('id', 'name', 'iban')
('V001', 'Vendor 1', 'IBAN000000001')
('V002', 'Vendor 2', 'IBAN000000002')
('V003', 'Vendor 3', 'IBAN000000003')
('V004', 'Vendor 4', 'IBAN000000004')
('V005', 'Vendor 5', 'IBAN000000005')
('V006', 'Vendor 6', 'IBAN000000006')
('V007', 'Vendor 7', 'IBAN000000007')
('V008', 'Vendor 8', 'IBAN000000008')
('V009', 'Vendor 9', 'IBAN000000009')
('V010', 'Vendor 10', 'IBAN000000010')
('V011', 'Vendor 11', 'IBAN000000011')
('V012', 'Vendor 12', 'IBAN000000012')
('V013', 'Vendor 13', 'IBAN000000013')
('V014', 'Vendor 14', 'IBAN000000014')
('V015', 'Vendor 15', 'IBAN000000015')
('V016', 'Vendor 16', 'IBAN000000016')
('V017', 'Vendor 17', 'IBAN000000017')
('V018', 'Vendor 18', 'IBAN000000018')
('V019', 'Vendor 19', 'IBAN000000019')
