New Terminal Output:
Text:  | Href: https://www.geostat.ge/en
Text:  | Href: https://census2024.geostat.ge/en
Text: About Us | Href: https://www.geostat.ge/en/modules/categories/187
Text: Site Map | Href: https://www.geostat.ge/en/site-map
Text: Contact | Href: https://www.geostat.ge/en/contact
Text: Audio sound turn off | Href: javascript:void(0)
Text: Increase the font size | Href: javascript:void(0)
Text: Contrasting colors | Href: javascript:void(0)
Text: Information | Href: javascript:void(0)
Text:  | Href: https://www.facebook.com/geostat.ge/
Text:  | Href: https://twitter.com/Geostat100
Text:  | Href: https://www.youtube.com/user/CensusGe
Text:  | Href: https://www.geostat.ge/ka/modules/categories/604/session-1a-100-years-of-developing-the-statistics-in-georgia-achievements-and-challenges
Text: Statistics | Href: #
Text: Business Statistics | Href: https://www.geostat.ge/en/modules/categories/195
Text: Monetary Statistics | Href: https://www.geostat.ge/en/modules/categories/92
Text: Crime Statistics | Href: https://www.geostat.ge/en/modules/categories/131
Text: Business Register | Href: https://www.geostat.ge/en/modules/categories/64
Text: Population and Demography | Href: https://www.geostat.ge/en/modules/categories/316
Text: Government Finance Statistics | Href: https://www.geostat.ge/en/modules/categories/91
Text: Education, Science, Culture, Sport | Href: https://www.geostat.ge/en/modules/categories/56
Text: Industry, Construction and Energy Statistics | Href: https://www.geostat.ge/en/modules/categories/74
Text: Agriculture and Food Security | Href: https://www.geostat.ge/en/modules/categories/70
Text: Environment Statistics | Href: https://www.geostat.ge/en/modules/categories/73
Text: Foreign Direct Investments | Href: https://www.geostat.ge/en/modules/categories/191
Text: Tourism Statistics | Href: https://www.geostat.ge/en/modules/categories/100
Text: Employment and Wages | Href: https://www.geostat.ge/en/modules/categories/37
Text: Regional Statistics | Href: https://www.geostat.ge/en/modules/categories/93
Text: Price Statistics | Href: https://www.geostat.ge/en/modules/categories/25
Text: National Accounts | Href: https://www.geostat.ge/en/modules/categories/22
Text: Information and Communication Technology (ICT) | Href: https://www.geostat.ge/en/modules/categories/103
Text: Living Conditions | Href: https://www.geostat.ge/en/modules/categories/48
Text: Service Statistics | Href: https://www.geostat.ge/en/modules/categories/387
Text: External Trade | Href: https://www.geostat.ge/en/modules/categories/35
Text: Healthcare and Social Protection | Href: https://www.geostat.ge/en/modules/categories/53
Text: Multiple Indicator Cluster Survey | Href: https://www.geostat.ge/en/modules/categories/692
Text: Publications | Href: #
Text: Quarterly | Href: https://www.geostat.ge/en/single-categories/121
Text: Annual | Href: https://www.geostat.ge/en/single-categories/122
Text: Methodology | Href: #
Text: Business Statistics | Href: https://www.geostat.ge/en/modules/categories/121
Text: External Economic Relations | Href: https://www.geostat.ge/en/modules/categories/120
Text: Price Statistics | Href: https://www.geostat.ge/en/modules/categories/122
Text: Environment Statistics | Href: https://www.geostat.ge/en/modules/categories/809
Text: National Accounts | Href: https://www.geostat.ge/en/modules/categories/119
Text: Social Statistics | Href: https://www.geostat.ge/en/modules/categories/552
Text: Classifications | Href: https://www.geostat.ge/en/modules/categories/125
Text: Population Census and Demography | Href: https://www.geostat.ge/en/modules/categories/124
Text: Agricultural Statistics | Href: https://www.geostat.ge/en/modules/categories/123
Text: Questionnaires | Href: https://www.geostat.ge/en/modules/categories/555
Text: Data quality | Href: https://www.geostat.ge/en/modules/categories/730
Text: MetaData | Href: #
Text: Business Statistics | Href: https://www.geostat.ge/en/modules/categories/530
Text: Population and Demography | Href: https://www.geostat.ge/en/modules/categories/538
Text: Agricultural Statistics | Href: https://www.geostat.ge/en/modules/categories/570
Text: Education, Science, Culture | Href: https://www.geostat.ge/en/modules/categories/644
Text: Industry, Construction and Energy Statistics | Href: https://www.geostat.ge/en/modules/categories/533
Text: Tourism Statistics | Href: https://www.geostat.ge/en/modules/categories/658
Text: Environment Statistics | Href: https://www.geostat.ge/en/modules/categories/651
Text: Foreign Direct Investments | Href: https://www.geostat.ge/en/modules/categories/536
Text: Price Statistics | Href: https://www.geostat.ge/en/modules/categories/537
Text: Employment and Wages | Href: https://www.geostat.ge/en/modules/categories/661
Text: Information and Communication Technology (ICT) | Href: https://www.geostat.ge/en/modules/categories/534
Text: Living Conditions, Subsistence Minimum | Href: https://www.geostat.ge/en/modules/categories/582
Text: National Accounts | Href: https://www.geostat.ge/en/modules/categories/110
Text: External Trade | Href: https://www.geostat.ge/en/modules/categories/112
Text: Healthcare and Social Protection | Href: https://www.geostat.ge/en/modules/categories/649
Text: Service Statistics | Href: https://www.geostat.ge/en/modules/categories/532
Text: Crime Statistics | Href: https://www.geostat.ge/en/modules/categories/648
Text: IMF SDDS | Href: https://www.geostat.ge/en/modules/categories/539
Text: Monetary Statistics | Href: https://www.geostat.ge/en/modules/categories/535
Text: Calendar | Href: https://www.geostat.ge/en/calendar
Text: Media | Href: #
Text: Photo Gallery | Href: https://www.geostat.ge/en/albums
Text: Video Gallery | Href: https://www.geostat.ge/en/video-gallery
Text: News | Href: https://geostat.ge/en/news
Text: Infographic | Href: https://www.geostat.ge/en/infographic
Text: Surveys | Href: #
Text: Enterprises and Institutions | Href: https://www.geostat.ge/en/page/satsarmoebi-da-datsesebulebebi
Text: Households | Href: https://www.geostat.ge/en/page/shinameurneobebi-da-fizikuri-pirebi
Text: Participation In Surveys | Href: https://questionnaires.geostat.ge/
Text: Calendar of Fieldworks of Geostat Surveys | Href: http://surveycalendar.geostat.ge/en
Text: links | Href: #
Text: World Countries | Href: https://www.geostat.ge/en/links/5/World-Countries
