New Terminal Output:
run_id     board_family  solder_liquidus_c  conveyor_speed_cm_min  board_length_cm
0   R0004         Wearable                179                   93.2               15
1   R0005  Industrial_CTRL                217                   87.5               32
2   R0003  Industrial_CTRL                183                   51.5               32
3   R0006       Mobile_PWR                217                   48.7               25
4   R0001    Sensor_Module                183                   64.8               20
5   R0002       Compute_IO                179                   75.1               30
6   R0009    Sensor_Module                217                   86.2               20
7   R0011       Compute_IO                179                   75.8               30
8   R0007       Mobile_PWR                179                   81.6               25
9   R0010  Industrial_CTRL                183                   47.7               32
10  R0012  Industrial_CTRL                217                   81.6               32
11  R0008    Sensor_Module                217                  106.7               20
12  R0013         Wearable                183                   91.8               15
13  R0014       Mobile_PWR                183                   53.9               25
14  R0016  Industrial_CTRL                217                   60.2               32
15  R0018         Wearable                183                   82.9               15
16  R0017  Industrial_CTRL                183                   59.5               32
17  R0015       Mobile_PWR                217                   63.1               25
18  R0023      RF_FrontEnd                183                   85.8               18
19  R0024    Sensor_Module                179                   82.1               20
20  R0019       Compute_IO                217                   84.2               30
21  R0020       Mobile_PWR                217                   49.4               25
22  R0021    Sensor_Module                183                   83.8               20
23  R0022  Industrial_CTRL                179                   61.6               32
24  R0029       Compute_IO                179                   65.3               30
25  R0026    Sensor_Module                217                   49.2               20
26  R0027    Sensor_Module                183                   75.4               20
27  R0025      RF_FrontEnd                183                   65.1               18
28  R0028       Compute_IO                183                   82.2               30
29  R0030       Compute_IO                179                   50.8               30
30  R0034  Industrial_CTRL                183                   45.8               32
31  R0032       Mobile_PWR                183                   95.8               25
32  R0035         Wearable                217                   40.9               15
33  R0033       Mobile_PWR                179                  101.6               25
34  R0036       Compute_IO                217                   59.3               30
35  R0031      RF_FrontEnd                217                   40.9               18
36  R0037       Mobile_PWR                217                   59.8               25
37  R0040         Wearable                179                   95.1               15
38  R0038       Mobile_PWR                217                   65.8               25
39  R0041      RF_FrontEnd                217                   40.2               18
40  R0042       Compute_IO                183                   88.8               30
41  R0039  Industrial_CTRL                179                   98.6               32
42  R0047       Compute_IO                217                   83.7               30
43  R0046         Wearable                179                   93.0               15
44  R0043    Sensor_Module                183                   59.9               20
45  R0044         Wearable                179                   66.6               15
46  R0045       Compute_IO                183                  102.4               30
47  R0048       Mobile_PWR                217                   38.3               25
48  R0054    Sensor_Module                183                   95.3               20
49  R0049  Industrial_CTRL                217                   37.1               32
50  R0051    Sensor_Module                183                  106.1               20
51  R0053         Wearable                183                   55.4               15
52  R0050         Wearable                217                   84.8               15
53  R0052      RF_FrontEnd                217                   99.5               18
54  R0059       Mobile_PWR                183                   38.0               25
55  R0056       Mobile_PWR                217                   60.9               25
56  R0058       Compute_IO                183                   82.2               30
57  R0055      RF_FrontEnd                217                   60.8               18
58  R0057       Mobile_PWR                183                   88.8               25
59  R0060    Sensor_Module                179                   99.3               20
