New Terminal Output:
29.8 30.0 0.0 cruise 
29.9 30.0 0.0 cruise 
30.0 30.0 -2.3 follow -2.90
30.1 29.8 -7.5 follow -3.78
30.2 29.0 -6.9 follow -4.43
30.3 28.3 -6.5 follow -4.90
30.4 27.7 3.0 follow -2.45
30.5 28.0 -8.0 follow -3.81
30.6 27.2 3.0 follow -2.35
30.7 27.5 -8.0 follow -3.62
30.8 26.7 3.0 follow -2.28
30.9 27.0 -8.0 follow -5.35
31.0 26.2 3.0 follow -2.02
31.1 26.5 -8.0 follow -4.40
31.2 25.7 3.0 follow -1.08
31.3 26.0 -8.0 follow -5.61
31.4 25.2 3.0 follow -1.57
31.5 25.5 -8.0 follow -4.41
31.6 24.7 -5.6 follow -4.66
31.7 24.1 -0.2 follow -3.95
31.8 24.1 -4.3 follow -4.03
31.9 23.7 3.0 follow -2.75
32.0 24.0 -6.7 follow -3.39
32.1 23.3 -7.4 follow -4.07
32.2 22.6 3.0 follow -2.56
32.3 22.9 3.0 follow -0.62
32.4 23.2 -8.0 follow -1.87
32.5 22.4 -6.1 follow -2.51
32.6 21.8 -1.8 follow -2.33
32.7 21.6 -2.0 follow -2.20
32.8 21.4 1.2 follow -1.54
32.9 21.5 -8.0 follow -3.87
33.0 20.7 3.0 follow -1.97
33.1 21.0 -8.0 follow -4.28
33.2 20.2 3.0 follow -0.84
33.3 20.5 -3.7 follow -1.19
33.4 20.1 -7.3 follow -2.11
33.5 19.4 3.0 follow 1.21
33.6 19.7 -8.0 follow -2.62
33.7 18.9 1.4 follow -1.83
33.8 19.0 3.0 follow -0.23
33.9 19.3 0.8 follow 0.13
34.0 19.4 1.8 follow 0.62
34.1 19.6 -8.0 follow -2.19
34.2 18.8 3.0 follow 0.66
34.3 19.1 -8.0 follow -1.13
34.4 18.3 3.0 follow -0.15
34.5 18.6 2.7 follow 0.52
34.6 18.8 -4.8 follow -0.19
34.7 18.4 -8.0 follow -2.00
34.8 17.6 3.0 follow 2.58
