New Terminal Output:
Loading 22 sampled frames...
Loaded 22 frames

=== EGOMOTION ESTIMATION ===
Extracted 22 transforms

=== DYNAMIC OBJECT DETECTION ===
Min area threshold: 921 pixels
Frame 0: Empty mask (reference)
Frame 1: threshold=33, valid_pixels=921600, detected=140005 pixels
Frame 2: threshold=44, valid_pixels=921600, detected=126920 pixels
Frame 3: threshold=33, valid_pixels=921600, detected=150735 pixels
Frame 4: threshold=33, valid_pixels=921600, detected=152785 pixels
Frame 5: threshold=39, valid_pixels=921600, detected=166166 pixels
Frame 6: threshold=39, valid_pixels=921600, detected=170157 pixels
Frame 7: threshold=44, valid_pixels=921600, detected=170450 pixels
Frame 8: threshold=39, valid_pixels=921600, detected=147703 pixels
Frame 9: threshold=39, valid_pixels=919435, detected=169542 pixels
Frame 10: threshold=28, valid_pixels=921600, detected=159502 pixels
Frame 11: threshold=39, valid_pixels=920797, detected=172651 pixels
Frame 12: threshold=44, valid_pixels=920195, detected=141378 pixels
Frame 13: threshold=44, valid_pixels=921600, detected=119132 pixels
Frame 14: threshold=39, valid_pixels=919701, detected=163612 pixels
Frame 15: threshold=50, valid_pixels=917766, detected=130105 pixels
Frame 16: threshold=50, valid_pixels=920701, detected=124301 pixels
Frame 17: threshold=50, valid_pixels=921547, detected=142326 pixels
Frame 18: threshold=55, valid_pixels=921600, detected=126803 pixels
Frame 19: threshold=55, valid_pixels=921360, detected=138432 pixels
Frame 20: threshold=60, valid_pixels=921600, detected=120089 pixels
Frame 21: threshold=28, valid_pixels=921600, detected=194282 pixels

Generated masks for 22 frames
Saved masks to /root/pred_dyn_masks.npz
