Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

root@5872ab224e04:~# awk -F',' 'NR>1 && $3!="" {print $1","$3","$4}' sensor_data.csv | head -30
30.0,25.37,52.1
30.1,24.9,50.87
30.2,25.49,49.1
30.3,26.14,47.59
30.4,24.82,49.07
30.5,24.82,48.16
30.6,26.18,48.42
30.7,25.58,47.6
30.8,24.65,47.74
30.9,25.41,45.12
31.0,24.65,47.25
31.1,24.65,45.32
31.2,25.18,47.44
31.3,23.57,43.36
31.4,23.71,46.2
31.5,24.58,43.81
31.6,24.24,42.36
31.7,25.24,42.24
31.8,24.32,42.12
31.9,23.94,42.75
32.0,26.1,42.56
32.1,24.83,40.88
32.2,25.05,41.28
32.3,23.93,43.67
32.4,24.59,42.87
32.5,25.08,41.03
32.6,24.14,40.3
32.7,25.28,40.15
32.8,24.55,40.51
32.9,24.78,38.35
root@5872ab224e04:~# awk -F',' 'NR>1 && $3!="" {print $1","$3","$4}' sensor_data.csv | tail -30
127.0,30.12,81.42
127.1,29.39,74.77
127.2,30.76,85.65
127.3,29.41,86.5
127.4,29.6,87.95
127.5,28.3,88.95
127.6,29.59,95.1
127.7,27.82,96.67
127.8,28.57,93.77
127.9,30.68,99.2
128.0,30.71,97.09
128.1,30.38,97.78
128.2,29.13,102.04
128.3,29.96,108.74
128.4,30.0,111.09
128.5,28.96,111.69
128.6,31.35,114.44
128.7,30.79,115.77
128.8,29.8,113.77
128.9,30.02,119.53
129.0,30.19,122.88
129.1,28.16,124.76
129.2,29.78,128.42
129.3,29.39,128.68
129.4,29.1,129.35
129.5,29.75,134.17
129.6,31.62,131.89
129.7,30.58,130.45
129.8,29.49,135.33
129.9,30.52,134.92
root@5872ab224e04:~# awk -F',' 'NR==301 || NR==302 || NR==303 {print NR": "$0}' sensor_data.csv
301: 29.9,30.0,,
302: 30.0,30.0,25.37,52.1
303: 30.1,29.9,24.9,50.87
root@5872ab224e04:~#
