New Terminal Output:
product_id,code,standard_label,category_lv1,category_lv2,station_scope,keywords_examples
P1_POWER,P1_POWER-EL-001,Open circuit: C87 / VDD_5V,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, C87, VDD_5V"
P1_POWER,P1_POWER-EL-002,Open circuit: U202 / GND,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, U202, GND"
P1_POWER,P1_POWER-EL-003,Open circuit: U101 / FB,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, U101, FB"
P1_POWER,P1_POWER-EL-004,Open circuit: L5 / SW_NODE,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, L5, SW_NODE"
P1_POWER,P1_POWER-EL-005,Open circuit: T1 / SW_NODE,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, T1, SW_NODE"
P1_POWER,P1_POWER-EL-006,Open circuit: U202 / VDD_5V,ELECTRICAL,OPEN,ICT;FCT;BST,"open, 开路, U202, VDD_5V"
P1_POWER,P1_POWER-EL-007,Short circuit: L5 / VBUS,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, L5, VBUS, bridge"
P1_POWER,P1_POWER-EL-008,Short circuit: Q15 / VDD_3V3,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, Q15, VDD_3V3, bridge"
P1_POWER,P1_POWER-EL-009,Short circuit: U202 / FB,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, U202, FB, bridge"
P1_POWER,P1_POWER-EL-010,Short circuit: Q15 / VBUS,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, Q15, VBUS, bridge"
P1_POWER,P1_POWER-EL-011,Short circuit: T1 / PGOOD,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, T1, PGOOD, bridge"
P1_POWER,P1_POWER-EL-012,Short circuit: D34 / SW_NODE,ELECTRICAL,SHORT,ICT;FCT;BST,"short, 短路, D34, SW_NODE, bridge"
P1_POWER,P1_POWER-SD-013,Cold solder suspected: J3,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, J3"
P1_POWER,P1_POWER-SD-014,Cold solder suspected: D34,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, D34"
P1_POWER,P1_POWER-SD-015,Cold solder suspected: U202,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, U202"
P1_POWER,P1_POWER-SD-016,Cold solder suspected: C87,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, C87"
P1_POWER,P1_POWER-SD-017,Cold solder suspected: U202,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, U202"
P1_POWER,P1_POWER-SD-018,Cold solder suspected: Q15,SOLDER,COLD_SOLDER,ICT;FCT,"cold solder, 虚焊, 浮高, Q15"
P1_POWER,P1_POWER-TS-019,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-020,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-021,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-022,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-023,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-TS-024,Fixture contact unstable (pogo pin / clamp),TEST_SYSTEM,FIXTURE_CONTACT,ICT;FCT;FUNC;BST,"fixture, pogo, 接触不良, 探针, reseat"
P1_POWER,P1_POWER-SW-025,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-026,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-027,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-028,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
P1_POWER,P1_POWER-SW-029,Programming failed (flash write),FW_SW,FLASH_FAIL,FLASH;FCT,"flash fail, 烧录失败, write fail, program fail"
