Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

root@7eccfed56160:/workspace# grep -r 'import javax\.' src/main/java/ | head -20
src/main/java/com/example/userservice/controller/UserController.java:import javax.validation.Valid;
src/main/java/com/example/userservice/config/SecurityConfig.java:import javax.servlet.http.HttpServletResponse;
src/main/java/com/example/userservice/service/UserService.java:import javax.persistence.EntityNotFoundException;
src/main/java/com/example/userservice/dto/CreateUserRequest.java:import javax.validation.constraints.Email;
src/main/java/com/example/userservice/dto/CreateUserRequest.java:import javax.validation.constraints.NotBlank;
src/main/java/com/example/userservice/dto/CreateUserRequest.java:import javax.validation.constraints.Size;
src/main/java/com/example/userservice/exception/GlobalExceptionHandler.java:import javax.persistence.EntityNotFoundException;
src/main/java/com/example/userservice/exception/GlobalExceptionHandler.java:import javax.servlet.http.HttpServletRequest;
src/main/java/com/example/userservice/model/User.java:import javax.persistence.*;
src/main/java/com/example/userservice/model/User.java:import javax.validation.constraints.Email;
src/main/java/com/example/userservice/model/User.java:import javax.validation.constraints.NotBlank;
src/main/java/com/example/userservice/model/User.java:import javax.validation.constraints.Size;
root@7eccfed56160:/workspace#
