Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

Current Terminal Screen:
bash: cannot set terminal process group (-1): Inappropriate ioctl for device
bash: no job control in this shell
>     frame_id = f"/root/keyframes_{i:03d}.png"
>
>     coins = count_objects_very_fast(frame_path, "/root/coin.png", threshold=0.8)
>     enemies = count_objects_very_fast(frame_path, "/root/enemy.png", threshold=0.8)
>     turtles = count_objects_very_fast(frame_path, "/root/turtle.png", threshold=0.8)
>
>     results.append({'frame_id': frame_id, 'coins': coins, 'enemies': enemies, 'turtles': turtles})
>     print(f"Frame {i:03d}: coins={coins}, enemies={enemies}, turtles={turtles}")
>     sys.stdout.flush()
>
> with open('/root/counting_results.csv', 'w', newline='') as f:
>     writer = csv.DictWriter(f, fieldnames=['frame_id', 'coins', 'enemies', 'turtles'])
>     writer.writeheader()
>     writer.writerows(results)
>
> print("Done!")
> EOF
Processing frames...
Frame 001: coins=298, enemies=196, turtles=727
Frame 002: coins=315, enemies=206, turtles=745
Frame 003: coins=316, enemies=208, turtles=747
Frame 004: coins=312, enemies=206, turtles=744
Frame 005: coins=310, enemies=206, turtles=748
Frame 006: coins=307, enemies=207, turtles=747
Frame 007: coins=320, enemies=206, turtles=748
Frame 008: coins=320, enemies=207, turtles=747
Frame 009: coins=318, enemies=207, turtles=746
Frame 010: coins=312, enemies=207, turtles=746
Frame 011: coins=316, enemies=207, turtles=748
Frame 012: coins=319, enemies=208, turtles=748
Frame 013: coins=319, enemies=208, turtles=748
Frame 014: coins=314, enemies=205, turtles=746
Frame 015: coins=312, enemies=208, turtles=748
Frame 016: coins=320, enemies=207, turtles=748
Frame 017: coins=318, enemies=206, turtles=748
Frame 018: coins=320, enemies=207, turtles=748
Frame 019: coins=320, enemies=208, turtles=744
Frame 020: coins=320, enemies=208, turtles=748
Frame 021: coins=320, enemies=208, turtles=748

