Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

frame=   27 fps=5.5 q=-0.0 Lsize=N/A time=00:00:26.00 bitrate=N/A speed=5.32x
root@112ae16a7957:~# python3 << 'EOF'
> import cv2
> import os
> import csv
> from pathlib import Path
>
> # Step 1: Convert all keyframes to grayscale (in-place)
> print("Converting frames to grayscale...")
> for i in range(1, 28):
>     frame_path = f"/root/keyframes_{i:03d}.png"
>     if os.path.exists(frame_path):
>         img = cv2.imread(frame_path)
>         gray = cv2.cvtColor(img, cv2.COLOR_BGR2GRAY)
>         cv2.imwrite(frame_path, gray)
>         print(f"Converted {frame_path}")
>
> print("\nAll frames converted to grayscale.")
> EOF
Converting frames to grayscale...
Converted /root/keyframes_001.png
Converted /root/keyframes_002.png
Converted /root/keyframes_003.png
Converted /root/keyframes_004.png
Converted /root/keyframes_005.png
Converted /root/keyframes_006.png
Converted /root/keyframes_007.png
Converted /root/keyframes_008.png
Converted /root/keyframes_009.png
Converted /root/keyframes_010.png
Converted /root/keyframes_011.png
Converted /root/keyframes_012.png
Converted /root/keyframes_013.png
Converted /root/keyframes_014.png
Converted /root/keyframes_015.png
Converted /root/keyframes_016.png
Converted /root/keyframes_017.png
Converted /root/keyframes_018.png
Converted /root/keyframes_019.png
Converted /root/keyframes_020.png
Converted /root/keyframes_021.png
Converted /root/keyframes_022.png
Converted /root/keyframes_023.png
Converted /root/keyframes_024.png
Converted /root/keyframes_025.png
Converted /root/keyframes_026.png
Converted /root/keyframes_027.png

All frames converted to grayscale.
root@112ae16a7957:~#
