New Terminal Output:
Map: (44, 26)
Plots:
(0, 'TERRAIN_OCEAN')
(1, 'TERRAIN_OCEAN')
(2, 'TERRAIN_OCEAN')
(3, 'TERRAIN_COAST')
(4, 'TERRAIN_OCEAN')
(5, 'TERRAIN_COAST')
(6, 'TERRAIN_COAST')
(7, 'TERRAIN_COAST')
(8, 'TERRAIN_COAST')
(9, 'TERRAIN_OCEAN')
(10, 'TERRAIN_COAST')
(11, 'TERRAIN_COAST')
(12, 'TERRAIN_COAST')
(13, 'TERRAIN_COAST')
(14, 'TERRAIN_COAST')
(15, 'TERRAIN_OCEAN')
(16, 'TERRAIN_OCEAN')
(17, 'TERRAIN_COAST')
(18, 'TERRAIN_OCEAN')
(19, 'TERRAIN_OCEAN')
(20, 'TERRAIN_OCEAN')
(21, 'TERRAIN_OCEAN')
(22, 'TERRAIN_OCEAN')
(23, 'TERRAIN_OCEAN')
(24, 'TERRAIN_OCEAN')
(25, 'TERRAIN_OCEAN')
(26, 'TERRAIN_OCEAN')
(27, 'TERRAIN_OCEAN')
(28, 'TERRAIN_OCEAN')
(29, 'TERRAIN_OCEAN')
(30, 'TERRAIN_OCEAN')
(31, 'TERRAIN_OCEAN')
(32, 'TERRAIN_OCEAN')
(33, 'TERRAIN_OCEAN')
(34, 'TERRAIN_OCEAN')
(35, 'TERRAIN_OCEAN')
(36, 'TERRAIN_OCEAN')
(37, 'TERRAIN_OCEAN')
(38, 'TERRAIN_OCEAN')
(39, 'TERRAIN_OCEAN')
(40, 'TERRAIN_OCEAN')
(41, 'TERRAIN_OCEAN')
(42, 'TERRAIN_OCEAN')
(43, 'TERRAIN_OCEAN')
(44, 'TERRAIN_OCEAN')
(45, 'TERRAIN_OCEAN')
(46, 'TERRAIN_OCEAN')
(47, 'TERRAIN_COAST')
(48, 'TERRAIN_COAST')
(49, 'TERRAIN_COAST')
(50, 'TERRAIN_COAST')
(51, 'TERRAIN_COAST')
(52, 'TERRAIN_OCEAN')
(53, 'TERRAIN_COAST')
(54, 'TERRAIN_COAST')
(55, 'TERRAIN_COAST')
