New Terminal Output:
Running optimization with Nelder-Mead...
Initial guess: cd=0.008, sw_factor=0.7, at_factor=0.9

  Testing cd=0.0080, sw_factor=0.7000, at_factor=0.9000... RMSE=5.0659
  Testing cd=0.0084, sw_factor=0.7000, at_factor=0.9000... RMSE=5.0713
  Testing cd=0.0080, sw_factor=0.7350, at_factor=0.9000... RMSE=5.0789
  Testing cd=0.0080, sw_factor=0.7000, at_factor=0.9450... RMSE=5.3020
  Testing cd=0.0083, sw_factor=0.7233, at_factor=0.8550... RMSE=4.9057
  Testing cd=0.0084, sw_factor=0.7350, at_factor=0.8100... RMSE=4.8284
  Testing cd=0.0085, sw_factor=0.6883, at_factor=0.8400... RMSE=4.8771
  Testing cd=0.0082, sw_factor=0.7156, at_factor=0.8000... RMSE=4.8131
  Testing cd=0.0081, sw_factor=0.7233, at_factor=0.7500... RMSE=4.8396
  Testing cd=0.0088, sw_factor=0.7259, at_factor=0.7333... RMSE=4.9096
  Testing cd=0.0086, sw_factor=0.7194, at_factor=0.7750... RMSE=4.8310
  Testing cd=0.0083, sw_factor=0.7583, at_factor=0.7500... RMSE=4.8420
  Testing cd=0.0083, sw_factor=0.7408, at_factor=0.7725... RMSE=4.8226
  Testing cd=0.0081, sw_factor=0.7415, at_factor=0.8133... RMSE=4.8261
  Testing cd=0.0080, sw_factor=0.7302, at_factor=0.7806... RMSE=4.8028
  Testing cd=0.0078, sw_factor=0.7279, at_factor=0.7658... RMSE=4.8059
  Testing cd=0.0083, sw_factor=0.7163, at_factor=0.7554... RMSE=4.8400
  Testing cd=0.0081, sw_factor=0.7352, at_factor=0.7988... RMSE=4.8118
  Testing cd=0.0079, sw_factor=0.7132, at_factor=0.8138... RMSE=4.8156
  Testing cd=0.0080, sw_factor=0.7201, at_factor=0.8034... RMSE=4.8093
  Testing cd=0.0079, sw_factor=0.7414, at_factor=0.7886... RMSE=4.7984
  Testing cd=0.0077, sw_factor=0.7544, at_factor=0.7828... RMSE=4.8037
  Testing cd=0.0078, sw_factor=0.7260, at_factor=0.7829... RMSE=4.7980
  Testing cd=0.0076, sw_factor=0.7214, at_factor=0.7749... RMSE=4.7939
  Testing cd=0.0077, sw_factor=0.7420, at_factor=0.7592... RMSE=4.8047
  Testing cd=0.0078, sw_factor=0.7365, at_factor=0.7703... RMSE=4.8009
  Testing cd=0.0075, sw_factor=0.7360, at_factor=0.7753... RMSE=4.7858
  Testing cd=0.0073, sw_factor=0.7389, at_factor=0.7726... RMSE=4.7749
  Testing cd=0.0074, sw_factor=0.7313, at_factor=0.7871... RMSE=4.7828
  Testing cd=0.0070, sw_factor=0.7196, at_factor=0.7678... RMSE=4.7658
  Testing cd=0.0066, sw_factor=0.7087, at_factor=0.7575... RMSE=4.7486
  Testing cd=0.0065, sw_factor=0.7312, at_factor=0.7699... RMSE=4.7412
  Testing cd=0.0060, sw_factor=0.7361, at_factor=0.7674... RMSE=4.7175
  Testing cd=0.0058, sw_factor=0.7244, at_factor=0.7446... RMSE=4.7062
  Testing cd=0.0050, sw_factor=0.7210, at_factor=0.7233... RMSE=4.6570
