New Terminal Output:
/tmp/analyze_frames.py:21: DeprecationWarning: Image.Image.getdata is deprecated and will be removed in Pillow 14 (2027-10-15). Use get_flattened_data instead.
  pixels = list(img.getdata())
Analyzing frames for potential chapter markers...
Frame | Time(s) | Size(KB) | Brightness | Variance
------------------------------------------------------------
  0   |    0    |   10     |  164.2     |   3114.0 <-- TITLE?
  1   |    5    |   10     |  164.5     |   3114.2 <-- TITLE?
  2   |   10    |    8     |  175.7     |    184.0 <-- TITLE?
  3   |   15    |   45     |   58.8     |    945.4 <-- TITLE?
  4   |   20    |   18     |   83.4     |    260.7 <-- TITLE?
  5   |   25    |   28     |   84.0     |    346.9 <-- TITLE?
  6   |   30    |   45     |   58.7     |    940.7 <-- TITLE?
  7   |   35    |   71     |  171.0     |   5800.9
  8   |   40    |   16     |  149.8     |    478.7 <-- TITLE?
  9   |   45    |   34     |  231.7     |   1867.6
 10   |   50    |   44     |  204.2     |   5929.5
 11   |   55    |   45     |  204.1     |   5934.6
 12   |   60    |   73     |  180.0     |   7020.6
 13   |   65    |   55     |  211.5     |   5186.8
 14   |   70    |   55     |  211.7     |   5166.5
 15   |   75    |   30     |  227.4     |   4136.8
 16   |   80    |   29     |  228.8     |   3924.9
 17   |   85    |   19     |  233.5     |   3668.6 <-- TITLE?
 18   |   90    |   19     |   89.4     |  14046.9 <-- TITLE?
 19   |   95    |   46     |   58.7     |    946.4 <-- TITLE?
 20   |  100    |   46     |   58.7     |    945.9 <-- TITLE?
 21   |  105    |   35     |   56.3     |    340.5 <-- TITLE?
 22   |  110    |   35     |   56.3     |    339.2 <-- TITLE?
 23   |  115    |   31     |   55.7     |    274.5 <-- TITLE?
 24   |  120    |   31     |   56.3     |    375.8 <-- TITLE?
 25   |  125    |   34     |   56.6     |    404.8 <-- TITLE?
 26   |  130    |   34     |   46.7     |    576.6 <-- TITLE?
 27   |  135    |   35     |   57.8     |    495.2 <-- TITLE?
 28   |  140    |   35     |   57.9     |    494.1 <-- TITLE?
 29   |  145    |   35     |   57.9     |    492.0 <-- TITLE?
