New Terminal Output:
id                 name           iban
0     V001             Vendor 1  IBAN000000001
1     V002             Vendor 2  IBAN000000002
2     V003             Vendor 3  IBAN000000003
3     V004             Vendor 4  IBAN000000004
4     V005             Vendor 5  IBAN000000005
5     V006             Vendor 6  IBAN000000006
6     V007             Vendor 7  IBAN000000007
7     V008             Vendor 8  IBAN000000008
8     V009             Vendor 9  IBAN000000009
9     V010            Vendor 10  IBAN000000010
10    V011            Vendor 11  IBAN000000011
11    V012            Vendor 12  IBAN000000012
12    V013            Vendor 13  IBAN000000013
13    V014            Vendor 14  IBAN000000014
14    V015            Vendor 15  IBAN000000015
15    V016            Vendor 16  IBAN000000016
16    V017            Vendor 17  IBAN000000017
17    V018            Vendor 18  IBAN000000018
18    V019            Vendor 19  IBAN000000019
19    V020            Vendor 20  IBAN000000020
20    V021            Vendor 21  IBAN000000021
21    V022            Vendor 22  IBAN000000022
22    V023            Vendor 23  IBAN000000023
23    V024            Vendor 24  IBAN000000024
24    V025            Vendor 25  IBAN000000025
25    V026            Vendor 26  IBAN000000026
26    V027            Vendor 27  IBAN000000027
27    V028            Vendor 28  IBAN000000028
28    V029            Vendor 29  IBAN000000029
29    V030            Vendor 30  IBAN000000030
30    V031            Vendor 31  IBAN000000031
31    V032            Vendor 32  IBAN000000032
32    V033            Vendor 33  IBAN000000033
33    V034            Vendor 34  IBAN000000034
34    V035            Vendor 35  IBAN000000035
35    V036            Vendor 36  IBAN000000036
36    V037            Vendor 37  IBAN000000037
37    V038            Vendor 38  IBAN000000038
38    V039            Vendor 39  IBAN000000039
39    V040            Vendor 40  IBAN000000040
40    V041            Vendor 41  IBAN000000041
41    V042            Vendor 42  IBAN000000042
42    V043            Vendor 43  IBAN000000043
43    V044            Vendor 44  IBAN000000044
44    V045            Vendor 45  IBAN000000045
45    V046            Vendor 46  IBAN000000046
46    V047            Vendor 47  IBAN000000047
47    V048            Vendor 48  IBAN000000048
48    V049            Vendor 49  IBAN000000049
49    V050            Vendor 50  IBAN000000050
50    V051            Vendor 51  IBAN000000051
51    V052            Vendor 52  IBAN000000052
52    V053            Vendor 53  IBAN000000053
53    V054            Vendor 54  IBAN000000054
54    V055            Vendor 55  IBAN000000055
55    V056            Vendor 56  IBAN000000056
56    V057            Vendor 57  IBAN000000057
57    V058            Vendor 58  IBAN000000058
58    V059            Vendor 59  IBAN000000059
59    V060            Vendor 60  IBAN000000060
60    V061            Vendor 61  IBAN000000061
61    V062            Vendor 62  IBAN000000062
62    V063            Vendor 63  IBAN000000063
63    V064            Vendor 64  IBAN000000064
64    V065            Vendor 65  IBAN000000065
65    V066            Vendor 66  IBAN000000066
66    V067            Vendor 67  IBAN000000067
67    V068            Vendor 68  IBAN000000068
68    V069            Vendor 69  IBAN000000069
69    V070            Vendor 70  IBAN000000070
70    V071            Vendor 71  IBAN000000071
71    V072            Vendor 72  IBAN000000072
72    V073            Vendor 73  IBAN000000073
73    V074            Vendor 74  IBAN000000074
74    V075            Vendor 75  IBAN000000075
75    V076            Vendor 76  IBAN000000076
76    V077            Vendor 77  IBAN000000077
77    V078            Vendor 78  IBAN000000078
78    V079            Vendor 79  IBAN000000079
79    V080            Vendor 80  IBAN000000080
80    V081            Vendor 81  IBAN000000081
81    V082            Vendor 82  IBAN000000082
82    V083            Vendor 83  IBAN000000083
83    V084            Vendor 84  IBAN000000084
84    V085            Vendor 85  IBAN000000085
85    V086            Vendor 86  IBAN000000086
86    V087            Vendor 87  IBAN000000087
87    V088            Vendor 88  IBAN000000088
88    V089            Vendor 89  IBAN000000089
89    V090            Vendor 90  IBAN000000090
90    V091            Vendor 91  IBAN000000091
91    V092            Vendor 92  IBAN000000092
92    V093            Vendor 93  IBAN000000093
93    V094            Vendor 94  IBAN000000094
94    V095            Vendor 95  IBAN000000095
95    V096            Vendor 96  IBAN000000096
96    V097            Vendor 97  IBAN000000097
97    V098            Vendor 98  IBAN000000098
98    V099            Vendor 99  IBAN000000099
99    V100           Vendor 100  IBAN000000100
100   V101           Vendor 101  IBAN000000101
101   V102           Vendor 102  IBAN000000102
102   V103           Vendor 103  IBAN000000103
103   V104           Vendor 104  IBAN000000104
