Previous response had warnings:
WARNINGS: - Extra text detected before JSON object
- Extra text detected after JSON object

New Terminal Output:

root@4caf205a0f92:~# python3 optimize_dbscan.py
Pareto frontier saved.
          F1     delta  min_samples  epsilon  shape_weight
0    0.71979  15.96918            3       10           1.8
7    0.71424  15.72585            4       14           1.8
9    0.71311  15.63894            3        8           1.9
11   0.71269  15.62659            4       14           1.9
25   0.70941  15.44382            4       10           1.9
27   0.70887  15.44033            3       10           1.9
75   0.70126  15.16306            5       14           1.9
102  0.69585  14.97532            5       14           1.8
112  0.69416  14.93762            5       12           1.9
169  0.68259  14.90828            5       10           1.9
209  0.66886  14.84927            6       18           1.8
269  0.64359  14.74369            7       18           1.8
315  0.62480  14.69838            7       12           1.9
351  0.60870  14.64791            8       20           1.8
360  0.60318  14.61162            7       12           1.8
363  0.60204  14.34988            7       10           1.9
460  0.55212  14.27348            9       20           1.7
472  0.54389  14.09390            9       18           1.7
476  0.54051  14.08916            9       20           1.6
528  0.50224  13.92427            9       12           1.8
root@4caf205a0f92:~#
