New Terminal Output:
0         1
0   Year  CPI_2024
1   1973  0.141542
2   1974  0.157189
3   1975  0.171561
4   1976  0.181417
5   1977  0.193212
6   1978  0.207956
7   1979   0.23136
8   1980  0.262707
9   1981  0.289857
10  1982   0.30763
11  1983  0.317512
12  1984  0.331167
13  1985  0.342909
14  1986  0.349417
15  1987  0.362222
16  1988  0.376992
17  1989   0.39519
18  1990  0.416522
19  1991  0.434162
20  1992  0.447312
21  1993  0.460515
22  1994  0.472522
23  1995  0.485779
24  1996  0.500018
25  1997  0.511707
26  1998   0.51965
27  1999   0.53102
28  2000  0.548952
29  2001  0.564466
