Map: [('Default', 44, 26, 90, -90, 1, 0, 'MAPSIZE_DUEL')]
Total plots: 1144

All Plots:
  ID=0, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=1, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=2, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=3, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=4, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=5, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=6, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=7, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=8, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=9, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=10, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=11, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=12, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=13, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=14, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=15, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=16, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=17, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=18, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=19, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=20, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=21, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=22, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=23, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=24, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=25, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=26, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=27, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=28, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=29, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=30, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=31, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=32, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=33, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=34, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=35, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=36, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=37, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=38, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=39, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=40, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=41, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=42, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=43, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=44, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=45, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=46, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=47, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=48, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=49, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=50, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=51, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=52, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=53, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=54, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=55, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=56, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=57, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=58, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=59, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=60, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=61, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=62, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=63, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=64, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=65, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=66, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=67, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=68, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=69, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=70, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=71, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=72, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=73, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=74, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=75, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=76, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=77, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=78, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=79, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=80, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=81, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=82, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=83, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=84, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=85, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=86, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=87, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=88, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=89, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=90, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
  ID=91, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=92, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=93, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=94, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=95, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=96, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=97, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=98, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=99, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=100, Terrain=TERRAIN_OCEAN, Continent=, Impassable=0
  ID=101, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=102, Terrain=TERRAIN_COAST, Continent=, Impassable=0
  ID=103, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=104, Terrain=TERRAIN_COAST, Continent=, Impassable=1
  ID=105, Terrain=TERRAIN_OCEAN, Continent=, Impassable=1
