New Terminal Output:
Land Plots:
ID: 506, x: 22, y: 11, terrain: TERRAIN_GRASS_MOUNTAIN, feature: None, rivers: []
ID: 507, x: 23, y: 11, terrain: TERRAIN_GRASS, feature: FEATURE_FOREST, rivers: []
ID: 508, x: 24, y: 11, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 509, x: 25, y: 11, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 550, x: 22, y: 12, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 551, x: 23, y: 12, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 552, x: 24, y: 12, terrain: TERRAIN_GRASS, feature: FEATURE_FOREST, rivers: []
ID: 553, x: 25, y: 12, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 554, x: 26, y: 12, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 592, x: 20, y: 13, terrain: TERRAIN_GRASS, feature: FEATURE_JUNGLE, rivers: []
ID: 593, x: 21, y: 13, terrain: TERRAIN_GRASS, feature: FEATURE_GEOTHERMAL_FISSURE, rivers: ['W', 'NW']
ID: 594, x: 22, y: 13, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 595, x: 23, y: 13, terrain: TERRAIN_GRASS, feature: FEATURE_FOREST, rivers: []
ID: 596, x: 24, y: 13, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 597, x: 25, y: 13, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 598, x: 26, y: 13, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 637, x: 21, y: 14, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 638, x: 22, y: 14, terrain: TERRAIN_GRASS, feature: None, rivers: ['W', 'NW']
ID: 639, x: 23, y: 14, terrain: TERRAIN_PLAINS, feature: FEATURE_FLOODPLAINS_PLAINS, rivers: ['W']
ID: 640, x: 24, y: 14, terrain: TERRAIN_GRASS, feature: None, rivers: ['NE']
ID: 641, x: 25, y: 14, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 642, x: 26, y: 14, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 643, x: 27, y: 14, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 680, x: 20, y: 15, terrain: TERRAIN_GRASS, feature: FEATURE_JUNGLE, rivers: []
ID: 681, x: 21, y: 15, terrain: TERRAIN_GRASS_MOUNTAIN, feature: None, rivers: []
ID: 682, x: 22, y: 15, terrain: TERRAIN_GRASS, feature: None, rivers: ['NW']
ID: 683, x: 23, y: 15, terrain: TERRAIN_PLAINS, feature: FEATURE_FLOODPLAINS_PLAINS, rivers: ['W', 'NW']
ID: 684, x: 24, y: 15, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 685, x: 25, y: 15, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 686, x: 26, y: 15, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 726, x: 22, y: 16, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 727, x: 23, y: 16, terrain: TERRAIN_PLAINS, feature: FEATURE_FLOODPLAINS_PLAINS, rivers: ['W']
ID: 728, x: 24, y: 16, terrain: TERRAIN_GRASS, feature: None, rivers: ['NE']
ID: 729, x: 25, y: 16, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 730, x: 26, y: 16, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 770, x: 22, y: 17, terrain: TERRAIN_PLAINS, feature: FEATURE_FLOODPLAINS_PLAINS, rivers: ['W']
ID: 771, x: 23, y: 17, terrain: TERRAIN_GRASS, feature: None, rivers: ['NE']
ID: 772, x: 24, y: 17, terrain: TERRAIN_GRASS, feature: None, rivers: []
ID: 773, x: 25, y: 17, terrain: TERRAIN_GRASS, feature: None, rivers: []
