New Terminal Output:
50.0 16.7 2.31 37.39
50.1 16.3 2.34 36.77
50.2 16.6 2.51 37.39
50.3 16.9 2.53 37.86
50.4 17.2 1.52 37.30
50.5 17.1 1.64 37.30
50.6 17.4 0.36 36.47
50.7 17.1 0.87 36.51
50.8 17.4 -0.41 35.68
50.9 17.0 3.68 39.21
51.0 17.3 -0.12 35.86
51.1 16.5 1.70 36.48
51.2 16.8 1.22 36.45
51.3 17.0 2.78 38.25
51.4 17.3 1.00 36.92
51.5 16.8 3.49 38.64
51.6 17.1 0.90 36.50
51.7 16.3 3.16 37.56
51.8 16.6 1.47 36.32
51.9 16.1 5.44 39.65
52.0 16.4 1.26 35.92
52.1 15.6 4.14 37.60
52.2 15.9 4.05 37.96
52.3 16.2 3.35 37.71
52.4 16.5 2.35 37.04
52.5 16.4 2.43 37.10
52.6 16.7 2.18 37.30
52.7 17.0 1.52 37.09
52.8 17.1 2.62 38.33
52.9 17.4 3.56 39.72
53.0 17.7 0.02 36.63
53.1 16.9 0.31 35.72
53.2 17.2 1.29 37.15
53.3 17.5 3.82 40.13
53.4 17.8 -0.41 36.35
53.5 17.0 3.52 39.08
53.6 17.3 3.11 39.12
53.7 17.6 0.17 36.63
53.8 16.8 2.63 37.89
53.9 17.1 3.36 39.07
54.0 17.4 0.67 36.83
54.1 16.6 2.06 37.02
54.2 16.9 1.19 36.60
54.3 16.9 0.77 36.12
54.4 17.1 0.94 36.52
54.5 17.4 -0.15 35.88
54.6 17.1 1.65 37.29
54.7 17.4 0.30 36.39
54.8 17.0 1.94 37.51
54.9 17.3 -0.51 35.51
55.0 16.5 2.80 37.62
55.1 16.8 2.91 38.18
55.2 17.1 -0.70 35.02
55.3 16.3 3.15 37.67
55.4 16.6 3.65 38.62
55.5 16.9 0.48 35.90
55.6 16.1 4.90 39.12
55.7 16.4 3.05 37.72
55.8 16.1 2.37 36.46
55.9 16.2 2.88 37.19
56.0 16.5 3.11 37.87
56.1 16.8 2.12 37.33
56.2 16.8 2.68 37.85
56.3 17.1 0.60 36.22
56.4 16.4 2.86 37.44
56.5 16.7 0.64 35.67
56.6 15.9 3.23 37.13
56.7 16.2 1.89 36.24
56.8 16.0 2.41 36.43
56.9 16.3 4.16 38.63
57.0 16.6 3.55 38.47
57.1 16.9 2.59 37.93
57.2 16.9 0.65 36.03
57.3 16.3 2.45 36.90
57.4 16.6 3.71 38.61
57.5 16.9 2.06 37.41
57.6 16.5 5.03 39.84
57.7 16.8 2.43 37.69
57.8 16.0 3.40 37.46
57.9 16.3 2.39 36.90
58.0 16.3 2.91 37.40
58.1 16.6 2.14 37.08
58.2 16.7 2.97 38.04
58.3 17.0 2.80 38.32
58.4 17.3 0.40 36.37
58.5 16.5 0.99 35.76
58.6 16.8 -0.02 35.20
58.7 16.6 2.91 37.82
58.8 16.9 0.66 36.02
58.9 16.1 0.64 34.84
59.0 16.4 3.03 37.68
59.1 16.7 4.94 40.04
59.2 17.0 1.69 37.24
59.3 16.2 3.84 38.19
59.4 16.5 2.54 37.34
59.5 16.4 2.56 37.14
59.6 16.7 3.25 38.28
59.7 17.0 1.45 36.93
59.8 16.5 2.80 37.55
59.9 16.8 2.41 37.61
60.0 17.1 0.85 36.50

Avg |error| t=50-100: 10.6285 count: 501
