New Terminal Output:
Examining all rows with data:
Row 1: ('ModelOff 2016 - Round 1 - Section 3', None, None, None, None, None, None, None, None, None)
Row 3: (None, None, 'Data', None, None, None, None, None, None, None)
Row 6: (None, None, 'List of All Turns To Be Scored', None, None, None, None, None, None, None)
Row 9: (None, None, 'Turn number', 'Game number', 'Roll 1', 'Roll 2', 'Roll 3', 'Roll 4', 'Roll 5', 'Roll 6')
Row 10: (None, None, 1, 1, 1, 6, 5, 5, 1, 2)
Row 11: (None, None, 2, 1, 1, 3, 6, 1, 1, 4)
Row 12: (None, None, 3, 2, 3, 3, 1, 6, 5, 3)
Row 13: (None, None, 4, 2, 6, 3, 4, 3, 1, 5)
Row 14: (None, None, 5, 3, 5, 3, 3, 5, 3, 3)
Row 15: (None, None, 6, 3, 3, 4, 5, 1, 1, 2)
Row 16: (None, None, 7, 4, 5, 5, 1, 3, 5, 4)
Row 17: (None, None, 8, 4, 6, 4, 1, 6, 6, 1)
Row 18: (None, None, 9, 5, 4, 1, 3, 1, 5, 5)
Row 19: (None, None, 10, 5, 3, 4, 4, 2, 6, 3)
Row 20: (None, None, 11, 6, 2, 5, 2, 1, 5, 5)
Row 21: (None, None, 12, 6, 4, 1, 6, 5, 3, 5)
Row 22: (None, None, 13, 7, 5, 1, 4, 6, 6, 4)
Row 23: (None, None, 14, 7, 5, 6, 1, 2, 1, 1)
Row 25: (None, None, 16, 8, 1, 5, 3, 6, 6, 1)
Row 26: (None, None, 17, 9, 3, 3, 1, 3, 2, 5)
Row 27: (None, None, 18, 9, 6, 6, 4, 2, 5, 2)
Row 28: (None, None, 19, 10, 3, 2, 5, 4, 4, 4)
Row 29: (None, None, 20, 10, 2, 4, 5, 2, 3, 6)
Row 30: (None, None, 21, 11, 3, 2, 5, 5, 3, 6)
Row 31: (None, None, 22, 11, 3, 2, 3, 1, 5, 5)
Row 32: (None, None, 23, 12, 5, 2, 1, 2, 5, 3)
Row 33: (None, None, 24, 12, 2, 2, 4, 5, 3, 6)
Row 34: (None, None, 25, 13, 3, 2, 5, 3, 5, 6)
Row 35: (None, None, 26, 13, 6, 6, 3, 2, 6, 3)
Row 36: (None, None, 27, 14, 6, 6, 1, 5, 2, 3)
Row 37: (None, None, 28, 14, 2, 3, 4, 6, 4, 5)
Row 38: (None, None, 29, 15, 6, 6, 5, 6, 4, 6)
Row 39: (None, None, 30, 15, 5, 6, 4, 1, 3, 1)
Row 40: (None, None, 31, 16, 3, 5, 1, 4, 1, 2)
Row 41: (None, None, 32, 16, 4, 1, 4, 2, 3, 5)
Row 42: (None, None, 33, 17, 4, 2, 5, 2, 2, 5)
Row 43: (None, None, 34, 17, 6, 3, 3, 4, 6, 6)
Row 44: (None, None, 35, 18, 5, 2, 4, 4, 6, 3)
Row 45: (None, None, 36, 18, 4, 4, 3, 2, 1, 4)
Row 46: (None, None, 37, 19, 5, 1, 1, 6, 4, 6)
Row 47: (None, None, 38, 19, 5, 5, 5, 5, 5, 2)
Row 48: (None, None, 39, 20, 4, 4, 1, 5, 3, 2)
Row 49: (None, None, 40, 20, 4, 5, 1, 4, 1, 5)
Row 50: (None, None, 41, 21, 6, 3, 2, 3, 2, 4)
Row 51: (None, None, 42, 21, 2, 1, 2, 3, 2, 1)
Row 52: (None, None, 43, 22, 5, 2, 3, 5, 4, 2)
Row 53: (None, None, 44, 22, 3, 1, 6, 5, 5, 1)
Row 54: (None, None, 45, 23, 1, 5, 4, 4, 5, 1)
Row 55: (None, None, 46, 23, 6, 1, 5, 6, 4, 6)
Row 56: (None, None, 47, 24, 5, 1, 3, 3, 2, 2)
Row 57: (None, None, 48, 24, 4, 2, 4, 2, 1, 4)
Row 58: (None, None, 49, 25, 6, 4, 4, 3, 2, 3)
Row 59: (None, None, 50, 25, 6, 6, 3, 3, 4, 3)
Row 60: (None, None, 51, 26, 6, 2, 6, 4, 2, 5)
Row 61: (None, None, 52, 26, 2, 5, 2, 3, 5, 4)
Row 62: (None, None, 53, 27, 1, 2, 4, 1, 2, 4)
Row 63: (None, None, 54, 27, 6, 5, 5, 5, 4, 6)
Row 64: (None, None, 55, 28, 4, 1, 3, 3, 4, 3)
Row 65: (None, None, 56, 28, 6, 4, 2, 1, 5, 6)
Row 66: (None, None, 57, 29, 1, 4, 3, 1, 3, 2)
Row 67: (None, None, 58, 29, 1, 4, 4, 5, 6, 4)
Row 68: (None, None, 59, 30, 3, 1, 1, 1, 4, 3)
Row 69: (None, None, 60, 30, 6, 6, 4, 3, 4, 6)
Row 70: (None, None, 61, 31, 3, 5, 4, 1, 1, 4)
Row 71: (None, None, 62, 31, 6, 1, 4, 1, 2, 6)
Row 72: (None, None, 63, 32, 4, 3, 3, 1, 2, 5)
Row 73: (None, None, 64, 32, 5, 6, 6, 6, 4, 6)
Row 74: (None, None, 65, 33, 1, 6, 3, 6, 6, 6)
Row 75: (None, None, 66, 33, 6, 1, 6, 3, 2, 3)
Row 76: (None, None, 67, 34, 6, 5, 6, 5, 2, 1)
Row 77: (None, None, 68, 34, 3, 6, 6, 6, 1, 1)
Row 78: (None, None, 69, 35, 1, 5, 4, 5, 1, 4)
Row 79: (None, None, 70, 35, 6, 1, 2, 3, 1, 3)
Row 80: (None, None, 71, 36, 6, 3, 6, 5, 2, 2)
Row 81: (None, None, 72, 36, 5, 6, 6, 2, 5, 5)
Row 82: (None, None, 73, 37, 6, 3, 2, 3, 5, 3)
Row 83: (None, None, 74, 37, 5, 5, 5, 4, 6, 5)
Row 84: (None, None, 75, 38, 2, 3, 2, 6, 5, 2)
Row 85: (None, None, 76, 38, 5, 2, 6, 3, 4, 3)
Row 86: (None, None, 77, 39, 4, 5, 2, 6, 1, 1)
Row 87: (None, None, 78, 39, 2, 4, 6, 1, 5, 4)
Row 88: (None, None, 79, 40, 6, 3, 2, 2, 5, 4)
Row 89: (None, None, 80, 40, 4, 5, 2, 2, 6, 5)
Row 90: (None, None, 81, 41, 3, 1, 3, 2, 2, 6)
Row 91: (None, None, 82, 41, 2, 3, 4, 6, 2, 2)
Row 92: (None, None, 83, 42, 1, 6, 6, 6, 2, 4)
Row 93: (None, None, 84, 42, 2, 3, 6, 2, 1, 2)
Row 94: (None, None, 85, 43, 6, 5, 5, 3, 4, 6)
Row 95: (None, None, 86, 43, 5, 6, 3, 4, 4, 2)
Row 96: (None, None, 87, 44, 3, 4, 4, 3, 6, 5)
Row 97: (None, None, 88, 44, 1, 3, 2, 1, 6, 3)
Row 98: (None, None, 89, 45, 2, 6, 6, 3, 2, 4)
Row 99: (None, None, 90, 45, 5, 2, 6, 5, 5, 5)
Row 100: (None, None, 91, 46, 4, 6, 4, 5, 1, 4)
