New Terminal Output:
time,longitude,latitude,depth_km,num_picks
2019-07-04T19:09:56.161,-117.5265934362554,35.73572662145849,9.319816092159371,25
2019-07-04T19:00:10.100,-117.54584854274253,35.722100931303,8.923818381722517,26
2019-07-04T19:18:51.387,-117.61914001497183,35.51148674996386,14.41547912354827,6
2019-07-04T19:32:22.436,-117.58907071795939,35.61325910080764,24.19184521984032,6
2019-07-04T19:32:27.338,-117.50556918534934,35.68293752223469,10.468920240607376,21
2019-07-04T19:20:23.341,-117.38263053833961,35.68840323045057,0.0,20
2019-07-04T19:20:17.532,-117.45814539676456,35.51086724072926,24.2397547140426,9
2019-07-04T19:20:01.356,-117.5516812599693,35.74843016297535,13.009233723660548,19
2019-07-04T19:27:18.246,-117.47023897371785,35.67573622084202,12.12256214031913,28
2019-07-04T19:49:05.393,-117.48251850123577,35.68622125816711,9.761925384189741,25
2019-07-04T19:33:20.952,-117.50866821823391,35.6856774614921,12.991092130547012,13
2019-07-04T19:52:39.413,-117.53876613070221,35.671937601008246,11.783579666160724,22
2019-07-04T19:04:36.458,-117.54948380920504,35.65755704451863,12.441798639465013,16
2019-07-04T19:39:36.391,-117.5349287447355,35.6576946399168,12.200264368763268,17
2019-07-04T19:39:49.707,-117.51804841105572,35.69038458403776,11.994147844043182,26
2019-07-04T19:40:08.379,-117.54958062943021,35.75020094658485,7.13974101879258,19
2019-07-04T19:13:17.306,-117.52082299063102,35.693848247328376,10.085431351399262,23
2019-07-04T19:54:17.528,-117.49811452669583,35.709500276690115,9.695211341286736,23
2019-07-04T19:34:52.600,-117.58232227977643,35.610546108396555,6.065616818993446,6
